Country of Residence,No. of Arrivals,Length of Stay(Days),Per Capita Spending(Baht/Day),Per Capita Spending($US/Day),Tourism Receipts(Mil. Baht),Tourism Receipts(Mil. $US),Region
Brunei,"18,249",7.42,"6,681.82",196.87,904.77,26.66,Asean
Cambodia,"851,879",6.69,"5,475.49",161.33,"31,205.17",919.42,Asean
Indonesia,"594,060",6.03,"5,161.43",152.08,"18,489.23",544.76,Asean
Laos,"1,692,866",5.69,"5,204.85",153.35,"50,135.28","1,477.17",Asean
Malaysia,"3,493,112",4.96,"5,506.80",162.25,"95,410.08","2,811.14",Asean
Myanmar,"387,722",7.43,"5,714.45",168.37,"16,462.05",485.03,Asean
Philippines,"361,218",7.33,"5,023.72",148.02,"13,301.43",391.91,Asean
Singapore,"1,259,523",5.4,"6,393.12",188.37,"43,482.36","1,281.15",Asean
Vietnam,"985,695",5.78,"5,205.05",153.36,"29,654.77",873.74,Asean
China,"9,846,818",8.08,"6,544.82",192.84,"520,722.39","15,342.44",East Asia
Hong Kong,"798,460",6.18,"6,670.87",196.55,"32,917.30",969.87,East Asia
Japan,"1,525,707",7.81,"5,595.95",164.88,"66,679.99","1,964.64",East Asia
Korea,"1,698,608",7.6,"5,848.98",172.33,"75,506.73","2,224.71",East Asia
Taiwan,"560,441",7.76,"5,733.78",168.94,"24,936.34",734.72,East Asia
Others in East Asia,"91,918",7.45,"6,470.32",190.64,"4,430.80",130.55,East Asia
Austria,"104,220",16.51,"4,639.53",136.7,"7,983.12",235.21,Europe
Belgium,"112,635",17.04,"4,001.01",117.88,"7,679.13",226.26,Europe
Denmark,"157,923",16.45,"5,271.75",155.33,"13,695.14",403.51,Europe
Finland,"138,926",17.14,"5,087.44",149.9,"12,114.18",356.93,Europe
France,"693,426",17.67,"3,714.26",109.44,"45,510.24","1,340.90",Europe
Germany,"837,318",17.47,"3,638.58",107.21,"53,225.05","1,568.21",Europe
Italy,"244,982",15.95,"4,056.14",119.51,"15,849.25",466.98,Europe
Netherlands,"215,433",17.8,"4,112.50",121.17,"15,770.22",464.65,Europe
Norway,"130,200",16.11,"5,345.79",157.51,"11,212.93",330.38,Europe
Russia,"1,340,376",17.35,"4,414.33",130.06,"102,657.51","3,024.68",Europe
Spain,"178,954",15.75,"4,096.93",120.71,"11,547.32",340.23,Europe
Sweden,"317,797",19.14,"4,544.44",133.9,"27,642.23",814.44,Europe
Switzerland,"227,152",17.01,"4,581.60",134.99,"17,702.60",521.59,Europe
United Kingdom,"945,061",18.25,"4,290.09",126.4,"73,992.49","2,180.10",Europe
East Europe,"445,521",14.72,"4,554.23",134.18,"29,866.87",879.99,Europe
Others in Europe,"232,242",15.93,"4,636.90",136.62,"17,154.71",505.44,Europe
Argentina,"62,738",16.65,"4,427.08",130.44,"4,624.48",136.25,The Americas
Brazil,"71,349",14.82,"5,304.92",156.3,"5,609.38",165.27,The Americas
Canada,"227,069",18.69,"4,323.93",127.4,"18,350.43",540.67,The Americas
USA,"1,006,939",14.18,"5,204.17",153.33,"74,307.22","2,189.37",The Americas
Others  in America,"80,799",14.79,"5,198.76",153.18,"6,212.60",183.05,The Americas
Bangladesh,"125,580",8.3,"6,296.64",185.52,"6,563.07",193.37,South Asia
India,"1,281,681",7.45,"5,732.72",168.91,"54,739.05","1,612.82",South Asia
Nepal,"43,782",9.79,"5,352.89",157.72,"2,294.39",67.6,South Asia
Pakistan,"76,784",9.94,"5,752.72",169.5,"4,390.67",129.37,South Asia
Sri Lanka,"63,386",7.3,"6,006.94",176.99,"2,779.52",81.9,South Asia
Others in South Asia,"48,315",8.25,"6,355.22",187.25,"2,533.18",74.64,South Asia
Australia,"837,485",13.85,"5,670.78",167.08,"65,776.41","1,938.02",Oceania
New Zealand,"102,328",14.15,"5,208.55",153.46,"7,541.65",222.21,Oceania
Others  in Ociania,"7,964",13.49,"5,494.05",161.88,590.25,17.39,Oceania
Egypt,"19,730",11.14,"6,900.96",203.33,"1,516.78",44.69,Middle East
Israel,"174,815",18.1,"5,250.24",154.69,"16,612.55",489.47,Middle East
Kuwait,"80,895",13.88,"7,451.10",219.54,"8,366.26",246.5,Middle East
Saudi Arabia,"42,610",12.2,"7,489.59",220.67,"3,893.40",114.71,Middle East
U.A.E.,"199,475",10.1,"7,490.07",220.69,"15,090.23",444.61,Middle East
Others in Middle East,"357,518",11.76,"6,483.77",191.04,"27,260.42",803.19,Middle East
South  Africa,"91,182",14.42,"5,187.09",152.83,"6,820.22",200.95,Africa
Others in Africa,"101,112",11,"6,645.32",195.8,"7,391.15",217.77,Africa
