Entity,Code,Year,"Air transport, passengers carried"
Thailand,THA,1995,12771400.0
Thailand,THA,1996,14078300.0
Thailand,THA,1997,14235800.0
Thailand,THA,1998,15015400.0
Thailand,THA,1999,15950500.0
Thailand,THA,2000,17392092.0
Thailand,THA,2001,17662418.0
Thailand,THA,2002,18111892.0
Thailand,THA,2003,16622502.0
Thailand,THA,2004,20342582.0
Thailand,THA,2005,18902628.0
Thailand,THA,2006,20102408.0
Thailand,THA,2007,21191724.0
Thailand,THA,2008,19993134.0
Thailand,THA,2009,19618736.0
Thailand,THA,2010,28780724.0
Thailand,THA,2011,31940492.0
Thailand,THA,2012,36392468.0
Thailand,THA,2013,43029152.0
Thailand,THA,2014,46546612.0
Thailand,THA,2015,56447636.0
Thailand,THA,2016,62341676.0
Thailand,THA,2017,70704888.0
Thailand,THA,2018,76053040.0
Thailand,THA,2019,76344408.0
Thailand,THA,2020,28179302.0
