Country,Frequency,Arrivals,Year
Brunai,Total,17433,2015
Brunai,First visit,4508,2015
Brunai,Re-visit,12925,2015
Cambodia,Total,544818,2015
Cambodia,First visit,103733,2015
Cambodia,Re-visit,441085,2015
Indonesia,Total,470820,2015
Indonesia,First visit,182849,2015
Indonesia,Re-visit,287971,2015
Laos,Total,1230521,2015
Laos,First visit,224678,2015
Laos,Re-visit,1005843,2015
Malaysia,Total,3407553,2015
Malaysia,First visit,1362845,2015
Malaysia,Re-visit,2044708,2015
Myanmar,Total,263422,2015
Myanmar,First visit,64982,2015
Myanmar,Re-visit,198440,2015
Philippines,Total,301297,2015
Philippines,First visit,102467,2015
Philippines,Re-visit,198830,2015
Singapore,Total,1074755,2015
Singapore,First visit,237035,2015
Singapore,Re-visit,837720,2015
Vietnam,Total,767643,2015
Vietnam,First visit,302216,2015
Vietnam,Re-visit,465427,2015
China,Total,7981407,2015
China,First visit,4378564,2015
China,Re-visit,3602843,2015
HongKong,Total,708435,2015
HongKong,First visit,175038,2015
HongKong,Re-visit,533397,2015
Japan,Total,1349388,2015
Japan,First visit,445144,2015
Japan,Re-visit,904244,2015
Korea,Total,1359211,2015
Korea,First visit,653778,2015
Korea,Re-visit,705433,2015
Taiwan,Total,545560,2015
Taiwan,First visit,178195,2015
Taiwan,Re-visit,367365,2015
Others in East Asia,Total,71666,2015
Others in East Asia,First visit,20692,2015
Others in East Asia,Re-visit,50974,2015
Austria,Total,94878,2015
Austria,First visit,32400,2015
Austria,Re-visit,62478,2015
Belgium,Total,107695,2015
Belgium,First visit,41145,2015
Belgium,Re-visit,66550,2015
Denmark,Total,159420,2015
Denmark,First visit,50748,2015
Denmark,Re-visit,108672,2015
Finland,Total,135107,2015
Finland,First visit,33239,2015
Finland,Re-visit,101868,2015
France,Total,648382,2015
France,First visit,266170,2015
France,Re-visit,382212,2015
Germany,Total,746135,2015
Germany,First visit,282137,2015
Germany,Re-visit,463998,2015
Ireland,Total,0,2015
Ireland,First visit,0,2015
Ireland,Re-visit,0,2015
Italy,Total,231429,2015
Italy,First visit,105030,2015
Italy,Re-visit,126399,2015
Netherlands,Total,214945,2015
Netherlands,First visit,78559,2015
Netherlands,Re-visit,136386,2015
Norway,Total,138024,2015
Norway,First visit,40914,2015
Norway,Re-visit,97110,2015
Russian,Total,877120,2015
Russian,First visit,279740,2015
Russian,Re-visit,597380,2015
Spain,Total,147380,2015
Spain,First visit,72537,2015
Spain,Re-visit,74843,2015
Sweden,Total,317792,2015
Sweden,First visit,79238,2015
Sweden,Re-visit,238554,2015
Switzerland,Total,219967,2015
Switzerland,First visit,67242,2015
Switzerland,Re-visit,152725,2015
UnitedKingdom,Total,896591,2015
UnitedKingdom,First visit,319301,2015
UnitedKingdom,Re-visit,577290,2015
EastEurope,Total,346352,2015
EastEurope,First visit,159264,2015
EastEurope,Re-visit,187088,2015
Others in Europe,Total,195564,2015
Others in Europe,First visit,83658,2015
Others in Europe,Re-visit,111906,2015
Argentina,Total,28050,2015
Argentina,First visit,16443,2015
Argentina,Re-visit,11607,2015
Brazil,Total,44414,2015
Brazil,First visit,23865,2015
Brazil,Re-visit,20549,2015
Canada,Total,210097,2015
Canada,First visit,84505,2015
Canada,Re-visit,125592,2015
USA,Total,827110,2015
USA,First visit,328081,2015
USA,Re-visit,499029,2015
Others in America,Total,59161,2015
Others in America,First visit,30915,2015
Others in America,Re-visit,28246,2015
Bangladesh,Total,109033,2015
Bangladesh,First visit,39520,2015
Bangladesh,Re-visit,69513,2015
India,Total,1039395,2015
India,First visit,496622,2015
India,Re-visit,542773,2015
Nepal,Total,33325,2015
Nepal,First visit,13696,2015
Nepal,Re-visit,19629,2015
Pakistan,Total,76366,2015
Pakistan,First visit,29282,2015
Pakistan,Re-visit,47084,2015
SriLanka,Total,75595,2015
SriLanka,First visit,29238,2015
SriLanka,Re-visit,46357,2015
Others in Asia,Total,40578,2015
Others in Asia,First visit,11014,2015
Others in Asia,Re-visit,29564,2015
Australia,Total,816053,2015
Australia,First visit,268150,2015
Australia,Re-visit,547903,2015
NewZealand,Total,102271,2015
NewZealand,First visit,38517,2015
NewZealand,Re-visit,63754,2015
Others in Oceania,Total,5562,2015
Others in Oceania,First visit,1927,2015
Others in Oceania,Re-visit,3635,2015
Egypt,Total,22851,2015
Egypt,First visit,10592,2015
Egypt,Re-visit,12259,2015
Israel,Total,138499,2015
Israel,First visit,52968,2015
Israel,Re-visit,85531,2015
Kuwait,Total,72830,2015
Kuwait,First visit,27320,2015
Kuwait,Re-visit,45510,2015
SaudiArabia,Total,25153,2015
SaudiArabia,First visit,11819,2015
SaudiArabia,Re-visit,13334,2015
UnitedArabEmirates,Total,171516,2015
UnitedArabEmirates,First visit,58216,2015
UnitedArabEmirates,Re-visit,113300,2015
Others in Middle East,Total,289942,2015
Others in Middle East,First visit,113357,2015
Others in Middle East,Re-visit,176585,2015
SouthAfrica,Total,74397,2015
SouthAfrica,First visit,32373,2015
SouthAfrica,Re-visit,42024,2015
Others in Africa,Total,90277,2015
Others in Africa,First visit,34531,2015
Others in Africa,Re-visit,55746,2015
Brunai,Total,17994,2016
Brunai,First visit,4266,2016
Brunai,Re-visit,13728,2016
Cambodia,Total,684836,2016
Cambodia,First visit,227053,2016
Cambodia,Re-visit,457783,2016
Indonesia,Total,558499,2016
Indonesia,First visit,224989,2016
Indonesia,Re-visit,333510,2016
Laos,Total,1414916,2016
Laos,First visit,310332,2016
Laos,Re-visit,1104584,2016
Malaysia,Total,3506199,2016
