Country,Year,Arrivals,Occupation
Brunai,2015,17433,Total
Brunai,2015,5493,Professional
Brunai,2015,4135,Administrative and managerial
Brunai,2015,3152,Commercial personal and clerical
Brunai,2015,918,Labourers production and service workers
Brunai,2015,52,Agricultural workers
Brunai,2015,898,Government
Brunai,2015,788,House wife
Brunai,2015,1783,Students
Brunai,2015,214,Retired
Brunai,2015,0,Others
Brunai,2015,0,Not stated
Cambodia,2015,544818,Total
Cambodia,2015,79740,Professional
Cambodia,2015,58170,Administrative and managerial
Cambodia,2015,116276,Commercial personal and clerical
Cambodia,2015,84485,Labourers production and service workers
Cambodia,2015,31089,Agricultural workers
Cambodia,2015,20950,Government
Cambodia,2015,63316,House wife
Cambodia,2015,86481,Students
Cambodia,2015,4311,Retired
Cambodia,2015,0,Others
Cambodia,2015,0,Not stated
Indonesia,2015,470820,Total
Indonesia,2015,109920,Professional
Indonesia,2015,99807,Administrative and managerial
Indonesia,2015,48835,Commercial personal and clerical
Indonesia,2015,100354,Labourers production and service workers
Indonesia,2015,647,Agricultural workers
Indonesia,2015,7786,Government
Indonesia,2015,50068,House wife
Indonesia,2015,51417,Students
Indonesia,2015,1771,Retired
Indonesia,2015,215,Others
Indonesia,2015,0,Not stated
Laos,2015,1230521,Total
Laos,2015,438284,Professional
Laos,2015,266987,Administrative and managerial
Laos,2015,99912,Commercial personal and clerical
Laos,2015,90252,Labourers production and service workers
Laos,2015,47669,Agricultural workers
Laos,2015,4998,Government
Laos,2015,79782,House wife
Laos,2015,154253,Students
Laos,2015,48384,Retired
Laos,2015,0,Others
Laos,2015,0,Not stated
Malaysia,2015,3407553,Total
Malaysia,2015,851994,Professional
Malaysia,2015,756955,Administrative and managerial
Malaysia,2015,382929,Commercial personal and clerical
Malaysia,2015,382379,Labourers production and service workers
Malaysia,2015,1692,Agricultural workers
Malaysia,2015,2803,Government
Malaysia,2015,657480,House wife
Malaysia,2015,357845,Students
Malaysia,2015,13436,Retired
Malaysia,2015,40,Others
Malaysia,2015,0,Not stated
Myanmar,2015,263422,Total
Myanmar,2015,79675,Professional
Myanmar,2015,36864,Administrative and managerial
Myanmar,2015,69908,Commercial personal and clerical
Myanmar,2015,11603,Labourers production and service workers
Myanmar,2015,1961,Agricultural workers
Myanmar,2015,948,Government
Myanmar,2015,12781,House wife
Myanmar,2015,46586,Students
Myanmar,2015,3096,Retired
Myanmar,2015,0,Others
Myanmar,2015,0,Not stated
Philippines,2015,301297,Total
Philippines,2015,96396,Professional
Philippines,2015,56671,Administrative and managerial
Philippines,2015,50815,Commercial personal and clerical
Philippines,2015,44485,Labourers production and service workers
Philippines,2015,2291,Agricultural workers
Philippines,2015,2221,Government
Philippines,2015,18738,House wife
Philippines,2015,27078,Students
Philippines,2015,2602,Retired
Philippines,2015,0,Others
Philippines,2015,0,Not stated
Singapore,2015,1074755,Total
Singapore,2015,339833,Professional
Singapore,2015,297394,Administrative and managerial
Singapore,2015,133145,Commercial personal and clerical
Singapore,2015,76359,Labourers production and service workers
Singapore,2015,1177,Agricultural workers
Singapore,2015,7412,Government
Singapore,2015,89089,House wife
Singapore,2015,116079,Students
Singapore,2015,14030,Retired
Singapore,2015,237,Others
Singapore,2015,0,Not stated
Vietnam,2015,767643,Total
Vietnam,2015,201837,Professional
Vietnam,2015,151697,Administrative and managerial
Vietnam,2015,199866,Commercial personal and clerical
Vietnam,2015,65509,Labourers production and service workers
Vietnam,2015,7211,Agricultural workers
Vietnam,2015,1693,Government
Vietnam,2015,25332,House wife
Vietnam,2015,107697,Students
Vietnam,2015,6559,Retired
Vietnam,2015,242,Others
Vietnam,2015,0,Not stated
China,2015,7981407,Total
China,2015,2083957,Professional
China,2015,2183213,Administrative and managerial
China,2015,1048841,Commercial personal and clerical
China,2015,1651484,Labourers production and service workers
China,2015,17348,Agricultural workers
China,2015,9422,Government
China,2015,86758,House wife
China,2015,781974,Students
China,2015,118355,Retired
China,2015,55,Others
China,2015,0,Not stated
HongKong,2015,708435,Total
HongKong,2015,190359,Professional
HongKong,2015,160539,Administrative and managerial
HongKong,2015,138627,Commercial personal and clerical
HongKong,2015,56949,Labourers production and service workers
HongKong,2015,749,Agricultural workers
HongKong,2015,4914,Government
HongKong,2015,65307,House wife
HongKong,2015,75834,Students
HongKong,2015,15109,Retired
HongKong,2015,48,Others
HongKong,2015,0,Not stated
Japan,2015,1349388,Total
Japan,2015,307099,Professional
Japan,2015,230865,Administrative and managerial
Japan,2015,243431,Commercial personal and clerical
Japan,2015,306063,Labourers production and service workers
Japan,2015,11902,Agricultural workers
Japan,2015,5885,Government
Japan,2015,113014,House wife
Japan,2015,119556,Students
Japan,2015,11219,Retired
Japan,2015,354,Others
Japan,2015,0,Not stated
Korea,2015,1359211,Total
Korea,2015,307313,Professional
Korea,2015,170483,Administrative and managerial
Korea,2015,323819,Commercial personal and clerical
Korea,2015,187978,Labourers production and service workers
Korea,2015,3445,Agricultural workers
Korea,2015,2431,Government
Korea,2015,135403,House wife
Korea,2015,224514,Students
Korea,2015,3640,Retired
Korea,2015,185,Others
Korea,2015,0,Not stated
Taiwan,2015,545560,Total
Taiwan,2015,160189,Professional
Taiwan,2015,83365,Administrative and managerial
Taiwan,2015,154786,Commercial personal and clerical
Taiwan,2015,49066,Labourers production and service workers
Taiwan,2015,775,Agricultural workers
Taiwan,2015,1212,Government
Taiwan,2015,29777,House wife
Taiwan,2015,62375,Students
Taiwan,2015,3880,Retired
Taiwan,2015,135,Others
Taiwan,2015,0,Not stated
Others in East,2015,71666,Total
Others in East,2015,17437,Professional
Others in East,2015,15818,Administrative and managerial
Others in East,2015,20144,Commercial personal and clerical
Others in East,2015,4893,Labourers production and service workers
Others in East,2015,294,Agricultural workers
Others in East,2015,1211,Government
Others in East,2015,4255,House wife
Others in East,2015,6784,Students
Others in East,2015,830,Retired
Others in East,2015,0,Others
Others in East,2015,0,Not stated
Austria,2015,94878,Total
Austria,2015,33139,Professional
Austria,2015,22531,Administrative and managerial
Austria,2015,7776,Commercial personal and clerical
Austria,2015,15868,Labourers production and service workers
Austria,2015,954,Agricultural workers
Austria,2015,239,Government
