Year,Arrivals,Sex,Country
2015,9807,Male,Brunai
2015,7626,Female,Brunai
2015,263202,Male,Cambodia
2015,281616,Female,Cambodia
2015,238360,Male,Indonesia
2015,232460,Female,Indonesia
2015,670901,Male,Laos
2015,559620,Female,Laos
2015,1430567,Male,Malaysia
2015,1976986,Female,Malaysia
2015,132604,Male,Myanmar
2015,130818,Female,Myanmar
2015,139077,Male,Philippines
2015,162220,Female,Philippines
2015,592015,Male,Singapore
2015,482740,Female,Singapore
2015,371913,Male,Vietnam
2015,395730,Female,Vietnam
2015,3456737,Male,China
2015,4524670,Female,China
2015,349419,Male,HongKong
2015,359016,Female,HongKong
2015,968087,Male,Japan
2015,381301,Female,Japan
2015,715226,Male,Korea
2015,643985,Female,Korea
2015,275964,Male,Taiwan
2015,269596,Female,Taiwan
2015,34399,Male,Others in East
2015,37267,Female,Others in East
2015,57398,Male,Austria
2015,37480,Female,Austria
2015,65913,Male,Belgium
2015,41782,Female,Belgium
2015,90292,Male,Denmark
2015,69128,Female,Denmark
2015,79006,Male,Finland
2015,56101,Female,Finland
2015,375614,Male,France
2015,272768,Female,France
2015,439297,Male,Germany
2015,306838,Female,Germany
2015,0,Male,Ireland
2015,0,Female,Ireland
2015,140105,Male,Italy
2015,91324,Female,Italy
2015,126155,Male,Netherlands
2015,88790,Female,Netherlands
2015,83550,Male,Norway
2015,54474,Female,Norway
2015,399059,Male,Russian
2015,478061,Female,Russian
2015,79373,Male,Spain
2015,68007,Female,Spain
2015,180770,Male,Sweden
2015,137022,Female,Sweden
2015,131207,Male,Switzerland
2015,88760,Female,Switzerland
2015,545310,Male,UnitedKingdom
2015,351281,Female,UnitedKingdom
2015,183527,Male,EastEurope
2015,162825,Female,EastEurope
2015,124277,Male,Others in Europe
2015,71287,Female,Others in Europe
2015,14479,Male,Argentina
2015,13571,Female,Argentina
2015,23763,Male,Brazil
2015,20651,Female,Brazil
2015,122823,Male,Canada
2015,87274,Female,Canada
2015,490741,Male,USA
2015,336369,Female,USA
2015,31644,Male,Others in America
2015,27517,Female,Others in America
2015,69526,Male,Bangladesh
2015,39507,Female,Bangladesh
2015,714917,Male,India
2015,324478,Female,India
2015,22369,Male,Nepal
2015,10956,Female,Nepal
2015,56760,Male,Pakistan
2015,19606,Female,Pakistan
2015,49617,Male,SriLanka
2015,25978,Female,SriLanka
2015,26379,Male,Others in Asia
2015,14199,Female,Others in Asia
2015,477235,Male,Australia
2015,338818,Female,Australia
2015,57781,Male,NewZealand
2015,44490,Female,NewZealand
2015,3510,Male,Others in Oceania
2015,2052,Female,Others in Oceania
2015,14548,Male,Egypt
2015,8303,Female,Egypt
2015,79434,Male,Israel
2015,59065,Female,Israel
2015,50651,Male,Kuwait
2015,22179,Female,Kuwait
2015,18573,Male,SaudiArabia
2015,6580,Female,SaudiArabia
2015,100214,Male,UnitedArabEmirates
2015,71302,Female,UnitedArabEmirates
2015,191876,Male,Others in Middle East
2015,98066,Female,Others in Middle East
2015,41780,Male,RepublicofSouthAfrica
2015,32617,Female,RepublicofSouthAfrica
2015,50318,Male,Others in Africa
2015,39959,Female,Others in Africa
2016,9225,Male,Brunai
2016,8769,Female,Brunai
2016,254460,Male,Cambodia
2016,430376,Female,Cambodia
2016,241624,Male,Indonesia
2016,316875,Female,Indonesia
2016,703471,Male,Laos
2016,711445,Female,Laos
2016,1369106,Male,Malaysia
2016,2137093,Female,Malaysia
2016,157706,Male,Myanmar
2016,206165,Female,Myanmar
2016,136841,Male,Philippines
2016,187019,Female,Philippines
2016,622716,Male,Singapore
2016,540593,Female,Singapore
2016,373219,Male,Vietnam
2016,490588,Female,Vietnam
2016,3499440,Male,China
2016,5321708,Female,China
2016,326107,Male,HongKong
2016,364358,Female,HongKong
2016,964017,Male,Japan
2016,452886,Female,Japan
2016,729859,Male,Korea
2016,719758,Female,Korea
2016,226999,Male,Taiwan
2016,286529,Female,Taiwan
2016,32638,Male,Others in East
2016,39763,Female,Others in East
2016,57316,Male,Austria
2016,40673,Female,Austria
2016,66853,Male,Belgium
2016,45287,Female,Belgium
2016,86742,Male,Denmark
2016,76664,Female,Denmark
2016,74637,Male,Finland
2016,56570,Female,Finland
2016,384799,Male,France
2016,312939,Female,France
2016,467114,Male,Germany
2016,358382,Female,Germany
2016,34183,Male,Ireland
2016,25374,Female,Ireland
2016,143285,Male,Italy
2016,105618,Female,Italy
2016,129264,Male,Netherlands
2016,99179,Female,Netherlands
2016,80920,Male,Norway
2016,53415,Female,Norway
2016,490195,Male,Russian
2016,595695,Female,Russian
2016,86579,Male,Spain
2016,81685,Female,Spain
2016,179662,Male,Sweden
2016,149408,Female,Sweden
2016,133754,Male,Switzerland
2016,92658,Female,Switzerland
2016,558988,Male,UnitedKingdom
