Country,Arrivals,Stay(Days),Spending($US/Day),Receipts(Mil. $US),Region,Year
Brunei,2435,9.48,7147.43,164.99,Asean,Q1/2020
Cambodia,163370,8.3,7105.47,9634.81,Asean,Q1/2020
Indonesia,96781,6.12,4340.94,2571.13,Asean,Q1/2020
Laos,382215,4.97,6196.3,11770.54,Asean,Q1/2020
Malaysia,612688,4.86,4298.47,12799.37,Asean,Q1/2020
Myanmar,54798,6.57,5340.68,1922.77,Asean,Q1/2020
Philippines,68005,11.12,5378.81,4067.55,Asean,Q1/2020
Singapore,132135,6.31,5124.8,4272.92,Asean,Q1/2020
Vietnam,131198,8.95,4525.53,5313.98,Asean,Q1/2020
China,1294379,8.66,5836.94,65428.05,East Asia,Q1/2020
Hong Kong,131634,6.52,6151.91,5279.9,East Asia,Q1/2020
Japan,311415,8.31,4676.78,12102.83,East Asia,Q1/2020
Korea,260602,8.57,5329.72,11903.18,East Asia,Q1/2020
Taiwan,114088,8.37,5136.61,4905.03,East Asia,Q1/2020
Others in East Asia,15254,10.02,8083.35,1235.5,East Asia,Q1/2020
Austria,34290,17.46,3678.32,2202.23,Europe,Q1/2020
Belgium,25623,17.13,3714.41,1630.34,Europe,Q1/2020
Denmark,62643,16.89,4838.13,5118.94,Europe,Q1/2020
Finland,57565,16.95,4764.74,4649.08,Europe,Q1/2020
France,230528,15.78,2905.31,10568.75,Europe,Q1/2020
Germany,228853,17.99,2824.39,11628.28,Europe,Q1/2020
Italy,57795,14.85,3636.61,3121.13,Europe,Q1/2020
Netherlands,49865,18.44,3475.27,3195.55,Europe,Q1/2020
Norway,38722,19.41,4778.04,3591.14,Europe,Q1/2020
Russia,585872,15.44,3581.97,32401.94,Europe,Q1/2020
Spain,26347,14.22,3520.89,1319.12,Europe,Q1/2020
Sweden,108329,19.54,3173.45,6717.41,Europe,Q1/2020
Switzerland,53051,18.52,3954.82,3885.62,Europe,Q1/2020
United Kingdom,213448,16.47,3255.96,11446.35,Europe,Q1/2020
East Europe,210599,14.07,3339.41,9895.1,Europe,Q1/2020
Others in Europe,56558,13.97,3735.82,2951.73,Europe,Q1/2020
Argentina,12455,11.73,3863.86,564.5,The Americas,Q1/2020
Brazil,18110,12.1,4334.31,949.78,The Americas,Q1/2020
Canada,55384,15.63,3185.55,2757.58,The Americas,Q1/2020
USA,206529,13.12,3843.21,10413.81,The Americas,Q1/2020
Others  in America,15950,11.45,4160,759.73,The Americas,Q1/2020
Bangladesh,22892,8.05,5899.81,1087.22,South Asia,Q1/2020
India,264134,7.3,4573.45,8818.44,South Asia,Q1/2020
Nepal,10320,9.92,5148.74,527.1,South Asia,Q1/2020
Pakistan,11337,11.21,5655.14,718.7,South Asia,Q1/2020
Sri Lanka,8328,8.07,6243.39,419.6,South Asia,Q1/2020
Others in South Asia,8170,11.79,6803.99,655.39,South Asia,Q1/2020
Australia,123000,12,3926.08,5794.9,Oceania,Q1/2020
New Zealand,13651,12.87,4791.89,841.88,Oceania,Q1/2020
Others  in Ociania,1440,4.64,5699.23,38.08,Oceania,Q1/2020
Egypt,3037,12.5,6552.26,248.74,Middle East,Q1/2020
Israel,29473,15.17,4236.09,1893.98,Middle East,Q1/2020
Kuwait,10828,12.8,6248.18,865.99,Middle East,Q1/2020
Saudi Arabia,6335,12.85,6202.95,504.95,Middle East,Q1/2020
U.A.E.,9372,14.03,6878.14,904.4,Middle East,Q1/2020
Others in Middle East,25052,13.3,5142.56,1713.46,Middle East,Q1/2020
South  Africa,9585,14.72,4392.14,619.69,Africa,Q1/2020
Others in Africa,15107,12.05,4828.13,878.91,Africa,Q1/2020
Brunei,31,89.18,889.43,0.82,Asean,Q2/2020
Cambodia,4989,88.01,1085.63,158.1,Asean,Q2/2020
Indonesia,2217,77.87,555.64,33.79,Asean,Q2/2020
Laos,45701,83.75,893,1120.25,Asean,Q2/2020
Malaysia,56973,87.17,1624.77,2702.98,Asean,Q2/2020
Myanmar,24010,76.71,854.81,545.73,Asean,Q2/2020
Philippines,16929,89.58,1130.47,571.45,Asean,Q2/2020
Singapore,1940,86.87,1508.65,86.34,Asean,Q2/2020
Vietnam,8111,84.42,1861.85,427.37,Asean,Q2/2020
China,56248,78.43,1378.09,2100.64,East Asia,Q2/2020
Hong Kong,2181,80.7,2264.79,135.54,East Asia,Q2/2020
Japan,18302,86.56,1968.45,1040.44,East Asia,Q2/2020
Korea,11375,79.92,1663.55,506,East Asia,Q2/2020
Taiwan,5679,86.05,1295.4,212.9,East Asia,Q2/2020
Others in East Asia,654,86.78,1703.66,32.49,East Asia,Q2/2020
Austria,2255,74.09,1699.87,95.6,Europe,Q2/2020
Belgium,2880,78.83,4759.02,360.33,Europe,Q2/2020
Denmark,2446,78.22,3143.31,201.44,Europe,Q2/2020
Finland,2333,76.94,2429.02,144.62,Europe,Q2/2020
