Column1,Region,Country of Residence,Age Group,No of Arrivals,Year,,,,Age group,No. of Arrival
1,South-East Asia,Brunai,Total,"17,433",2015,,,,Total,"182,864,389"
2,South-East Asia,Brunai,Under 25,"3,736",2015,,,,Under 25,"29,292,923"
3,South-East Asia,Brunai,25 - 34,"4,549",2015,,,,25 - 34,"50,137,190"
4,South-East Asia,Brunai,35 - 44,"4,028",2015,,,,35 - 44,"35,483,987"
5,South-East Asia,Brunai,45 - 54,"2,735",2015,,,,45 - 54,"30,696,015"
6,South-East Asia,Brunai,55 - 64,"1,777",2015,,,,55 - 64,"23,339,902"
7,South-East Asia,Brunai,65 and Over,608,2015,,,,65 and Over,13914372
8,South-East Asia,Brunai,Total,"17,994",2016,,,,,
9,South-East Asia,Brunai,Under 25,"4,526",2016,,,,,
10,South-East Asia,Brunai,25 - 34,"5,082",2016,,,,,
11,South-East Asia,Brunai,35 - 44,"3,289",2016,,,,,
12,South-East Asia,Brunai,45 - 54,"2,679",2016,,,,,
13,South-East Asia,Brunai,55 - 64,"1,683",2016,,,,,
14,South-East Asia,Brunai,65 and Over,735,2016,,,,,
15,South-East Asia,Brunai,Total,"18,249",2017,,,,,
16,South-East Asia,Brunai,Under 25,"4,179",2017,,,,,
17,South-East Asia,Brunai,25 - 34,"5,085",2017,,,,,
18,South-East Asia,Brunai,35 - 44,"3,435",2017,,,,,
19,South-East Asia,Brunai,45 - 54,"2,812",2017,,,,,
20,South-East Asia,Brunai,55 - 64,"1,939",2017,,,,,
21,South-East Asia,Brunai,65 and Over,799,2017,,,,,
22,South-East Asia,Brunai,Total,"18,460",2018,,,,,
23,South-East Asia,Brunai,Under 25,"3,719",2018,,,,,
24,South-East Asia,Brunai,25 - 34,"4,922",2018,,,,,
25,South-East Asia,Brunai,35 - 44,"3,541",2018,,,,,
26,South-East Asia,Brunai,45 - 54,"3,305",2018,,,,,
27,South-East Asia,Brunai,55 - 64,"2,094",2018,,,,,
28,South-East Asia,Brunai,65 and Over,879,2018,,,,,
29,South-East Asia,Brunai,Total,"19,858",2019,,,,,
30,South-East Asia,Brunai,Under 25,"4,171",2019,,,,,
31,South-East Asia,Brunai,25 - 34,"5,270",2019,,,,,
32,South-East Asia,Brunai,35 - 44,"4,008",2019,,,,,
33,South-East Asia,Brunai,45 - 54,"3,111",2019,,,,,
34,South-East Asia,Brunai,55 - 64,"2,271",2019,,,,,
35,South-East Asia,Brunai,65 and Over,"1,027",2019,,,,,
36,South-East Asia,Brunai,Total,"2,444",2020,,,,,
37,South-East Asia,Brunai,Under 25,373,2020,,,,,
38,South-East Asia,Brunai,25 - 34,757,2020,,,,,
39,South-East Asia,Brunai,35 - 44,459,2020,,,,,
40,South-East Asia,Brunai,45 - 54,378,2020,,,,,
41,South-East Asia,Brunai,55 - 64,351,2020,,,,,
42,South-East Asia,Brunai,65 and Over,126,2020,,,,,
43,South-East Asia,Cambodia,Total,"544,818",2015,,,,,
44,South-East Asia,Cambodia,Under 25,"105,324",2015,,,,,
45,South-East Asia,Cambodia,25 - 34,"137,266",2015,,,,,
46,South-East Asia,Cambodia,35 - 44,"121,159",2015,,,,,
47,South-East Asia,Cambodia,45 - 54,"86,113",2015,,,,,
48,South-East Asia,Cambodia,55 - 64,"62,795",2015,,,,,
49,South-East Asia,Cambodia,65 and Over,"32,161",2015,,,,,
50,South-East Asia,Cambodia,Total,"684,836",2016,,,,,
51,South-East Asia,Cambodia,Under 25,"145,984",2016,,,,,
52,South-East Asia,Cambodia,25 - 34,"134,056",2016,,,,,
53,South-East Asia,Cambodia,35 - 44,"89,952",2016,,,,,
54,South-East Asia,Cambodia,45 - 54,"107,272",2016,,,,,
55,South-East Asia,Cambodia,55 - 64,"110,742",2016,,,,,
56,South-East Asia,Cambodia,65 and Over,"96,830",2016,,,,,
57,South-East Asia,Cambodia,Total,"851,879",2017,,,,,
58,South-East Asia,Cambodia,Under 25,"144,396",2017,,,,,
59,South-East Asia,Cambodia,25 - 34,"247,505",2017,,,,,
60,South-East Asia,Cambodia,35 - 44,"162,140",2017,,,,,
61,South-East Asia,Cambodia,45 - 54,"127,164",2017,,,,,
