Country of Residence,Annual Income Group,No of Arrival per Annual Income,Year,,,,,,,
Brunai,"Less than 20,000 US$","6,214","2,019",,,,,,,
Brunai,"20,001 - 60,000 US$","8,941","2,019",,,,,,,
Brunai,"More than 60,000 US$","1,818","2,019",,,,,Total,,46641444
Brunai,No income,"2,885","2,019",,,,,"Less than 20,000 US$",,16651415
Cambodia,"Less than 20,000 US$","510,992","2,019",,,,,"20,001 - 60,000 US$",,"22,588,012"
Cambodia,"20,001 - 60,000 US$","302,803","2,019",,,,,"More than 60,000 US$",,"3,941,254"
Cambodia,"More than 60,000 US$","46,333","2,019",,,,,No income,,"3,460,763"
Cambodia,No income,"65,309","2,019",,,,,,,
Indonesia,"Less than 20,000 US$","265,826","2,019",,,,,,,
Indonesia,"20,001 - 60,000 US$","325,477","2,019",,,,,,,
Indonesia,"More than 60,000 US$","46,129","2,019",,,,,,,
Indonesia,No income,"69,476","2,019",,,,,,,
Laos,"Less than 20,000 US$","1,318,062","2,019",,,,,,,
Laos,"20,001 - 60,000 US$","366,195","2,019",,,,,,,
Laos,"More than 60,000 US$","57,258","2,019",,,,,,,
Laos,No income,"115,247","2,019",,,,,,,
Malaysia,"Less than 20,000 US$","2,370,705","2,019",,,,,,,
Malaysia,"20,001 - 60,000 US$","1,400,460","2,019",,,,,,,
Malaysia,"More than 60,000 US$","242,957","2,019",,,,,,,
Malaysia,No income,"260,336","2,019",,,,,,,
Myanmar,"Less than 20,000 US$","82,265","2,019",,,,,,,
Myanmar,"20,001 - 60,000 US$","249,061","2,019",,,,,,,
Myanmar,"More than 60,000 US$","24,798","2,019",,,,,,,
Myanmar,No income,"33,177","2,019",,,,,,,
Philippines,"Less than 20,000 US$","168,407","2,019",,,,,,,
Philippines,"20,001 - 60,000 US$","239,818","2,019",,,,,,,
Philippines,"More than 60,000 US$","31,419","2,019",,,,,,,
Philippines,No income,"33,921","2,019",,,,,,,
Singapore,"Less than 20,000 US$","253,067","2,019",,,,,,,
Singapore,"20,001 - 60,000 US$","554,635","2,019",,,,,,,
Singapore,"More than 60,000 US$","187,673","2,019",,,,,,,
Singapore,No income,"154,649","2,019",,,,,,,
Vietnam,"Less than 20,000 US$","521,061","2,019",,,,,,,
Vietnam,"20,001 - 60,000 US$","447,069","2,019",,,,,,,
Vietnam,"More than 60,000 US$","48,833","2,019",,,,,,,
Vietnam,No income,"63,646","2,019",,,,,,,
China,"Less than 20,000 US$","4,252,304","2,019",,,,,,,
China,"20,001 - 60,000 US$","5,708,023","2,019",,,,,,,
China,"More than 60,000 US$","639,807","2,019",,,,,,,
China,No income,"538,524","2,019",,,,,,,
Hong Kong,"Less than 20,000 US$","286,983","2,019",,,,,,,
Hong Kong,"20,001 - 60,000 US$","556,309","2,019",,,,,,,
Hong Kong,"More than 60,000 US$","131,406","2,019",,,,,,,
Hong Kong,No income,"115,423","2,019",,,,,,,
Japan,"Less than 20,000 US$","325,045","2,019",,,,,,,
Japan,"20,001 - 60,000 US$","1,127,266","2,019",,,,,,,
Japan,"More than 60,000 US$","206,559","2,019",,,,,,,
Japan,No income,"128,315","2,019",,,,,,,
Korea,"Less than 20,000 US$","361,290","2,019",,,,,,,
Korea,"20,001 - 60,000 US$","1,122,156","2,019",,,,,,,
Korea,"More than 60,000 US$","185,907","2,019",,,,,,,
Korea,No income,"211,112","2,019",,,,,,,
Taiwan,"Less than 20,000 US$","253,603","2,019",,,,,,,
Taiwan,"20,001 - 60,000 US$","444,295","2,019",,,,,,,
Taiwan,"More than 60,000 US$","43,615","2,019",,,,,,,
Taiwan,No income,"40,161","2,019",,,,,,,
Others in East Asia,"Less than 20,000 US$","36,958","2,019",,,,,,,
Others in East Asia,"20,001 - 60,000 US$","51,969","2,019",,,,,,,
Others in East Asia,"More than 60,000 US$","11,923","2,019",,,,,,,
Others in East Asia,No income,"14,088","2,019",,,,,,,
Austria,"Less than 20,000 US$","24,057","2,019",,,,,,,
Austria,"20,001 - 60,000 US$","68,940","2,019",,,,,,,
Austria,"More than 60,000 US$","9,555","2,019",,,,,,,
Austria,No income,"8,138","2,019",,,,,,,
Belgium,"Less than 20,000 US$","20,867","2,019",,,,,,,
Belgium,"20,001 - 60,000 US$","70,691","2,019",,,,,,,
Belgium,"More than 60,000 US$","10,290","2,019",,,,,,,
Belgium,No income,"12,168","2,019",,,,,,,
Denmark,"Less than 20,000 US$","31,280","2,019",,,,,,,
Denmark,"20,001 - 60,000 US$","84,249","2,019",,,,,,,
Denmark,"More than 60,000 US$","29,154","2,019",,,,,,,
Denmark,No income,"14,843","2,019",,,,,,,
Finland,"Less than 20,000 US$","25,635","2,019",,,,,,,
Finland,"20,001 - 60,000 US$","74,723","2,019",,,,,,,
Finland,"More than 60,000 US$","14,564","2,019",,,,,,,
Finland,No income,"10,568","2,019",,,,,,,
France,"Less than 20,000 US$","185,440","2,019",,,,,,,
France,"20,001 - 60,000 US$","385,355","2,019",,,,,,,
France,"More than 60,000 US$","61,631","2,019",,,,,,,
France,No income,"80,979","2,019",,,,,,,
Germany,"Less than 20,000 US$","170,885","2,019",,,,,,,
Germany,"20,001 - 60,000 US$","495,692","2,019",,,,,,,
Germany,"More than 60,000 US$","99,646","2,019",,,,,,,
Germany,No income,"70,703","2,019",,,,,,,
Ireland,"Less than 20,000 US$","9,868","2,019",,,,,,,
Ireland,"20,001 - 60,000 US$","35,785","2,019",,,,,,,
Ireland,"More than 60,000 US$","5,778","2,019",,,,,,,
Ireland,No income,"2,913","2,019",,,,,,,
Italy,"Less than 20,000 US$","75,171","2,019",,,,,,,
Italy,"20,001 - 60,000 US$","136,074","2,019",,,,,,,
Italy,"More than 60,000 US$","17,049","2,019",,,,,,,
Italy,No income,"22,576","2,019",,,,,,,
Netherlands,"Less than 20,000 US$","47,750","2,019",,,,,,,
Netherlands,"20,001 - 60,000 US$","132,173","2,019",,,,,,,
Netherlands,"More than 60,000 US$","28,128","2,019",,,,,,,
Netherlands,No income,"21,955","2,019",,,,,,,
Norway,"Less than 20,000 US$","18,728","2,019",,,,,,,
Norway,"20,001 - 60,000 US$","79,096","2,019",,,,,,,
Norway,"More than 60,000 US$","21,357","2,019",,,,,,,
Norway,No income,"11,328","2,019",,,,,,,
Russian,"Less than 20,000 US$","757,417","2,019",,,,,,,
Russian,"20,001 - 60,000 US$","486,181","2,019",,,,,,,
Russian,"More than 60,000 US$","102,004","2,019",,,,,,,
Russian,No income,"136,235","2,019",,,,,,,
Spain,"Less than 20,000 US$","53,145","2,019",,,,,,,
Spain,"20,001 - 60,000 US$","108,915","2,019",,,,,,,
Spain,"More than 60,000 US$","10,459","2,019",,,,,,,
Spain,No income,"14,450","2,019",,,,,,,
Sweden,"Less than 20,000 US$","45,209","2,019",,,,,,,
Sweden,"20,001 - 60,000 US$","177,042","2,019",,,,,,,
Sweden,"More than 60,000 US$","29,928","2,019",,,,,,,
Sweden,No income,"27,272","2,019",,,,,,,
Switzerland,"Less than 20,000 US$","34,243","2,019",,,,,,,
Switzerland,"20,001 - 60,000 US$","109,957","2,019",,,,,,,
Switzerland,"More than 60,000 US$","42,593","2,019",,,,,,,
Switzerland,No income,"19,294","2,019",,,,,,,
United Kingdom,"Less than 20,000 US$","157,087","2,019",,,,,,,
United Kingdom,"20,001 - 60,000 US$","601,773","2,019",,,,,,,
United Kingdom,"More than 60,000 US$","115,564","2,019",,,,,,,
United Kingdom,No income,"72,350","2,019",,,,,,,
East Europe,"Less than 20,000 US$","216,863","2,019",,,,,,,
East Europe,"20,001 - 60,000 US$","221,942","2,019",,,,,,,
East Europe,"More than 60,000 US$","45,585","2,019",,,,,,,
East Europe,No income,"48,521","2,019",,,,,,,
Others in Europe,"Less than 20,000 US$","50,111","2,019",,,,,,,
Others in Europe,"20,001 - 60,000 US$","87,191","2,019",,,,,,,
Others in Europe,"More than 60,000 US$","19,138","2,019",,,,,,,
Others in Europe,No income,"14,969","2,019",,,,,,,
    Argentina,"Less than 20,000 US$","12,466","2,019",,,,,,,
    Argentina,"20,001 - 60,000 US$","12,594","2,019",,,,,,,
    Argentina,"More than 60,000 US$","1,642","2,019",,,,,,,
    Argentina,No income,"1,481","2,019",,,,,,,
    Brazil,"Less than 20,000 US$","22,844","2,019",,,,,,,
    Brazil,"20,001 - 60,000 US$","28,562","2,019",,,,,,,
    Brazil,"More than 60,000 US$","5,032","2,019",,,,,,,
    Brazil,No income,"2,532","2,019",,,,,,,
    Canada,"Less than 20,000 US$","44,717","2,019",,,,,,,
    Canada,"20,001 - 60,000 US$","156,365","2,019",,,,,,,
    Canada,"More than 60,000 US$","35,682","2,019",,,,,,,
    Canada,No income,"15,810","2,019",,,,,,,
USA,"Less than 20,000 US$","164,008","2,019",,,,,,,
USA,"20,001 - 60,000 US$","689,256","2,019",,,,,,,
USA,"More than 60,000 US$","200,919","2,019",,,,,,,
USA,No income,"82,027","2,019",,,,,,,
Others in America,"Less than 20,000 US$","25,480","2,019",,,,,,,
Others in America,"20,001 - 60,000 US$","43,363","2,019",,,,,,,
Others in America,"More than 60,000 US$","8,135","2,019",,,,,,,
Others in America,No income,"6,885","2,019",,,,,,,
Bangladesh,"Less than 20,000 US$","27,832","2,019",,,,,,,
Bangladesh,"20,001 - 60,000 US$","87,609","2,019",,,,,,,
Bangladesh,"More than 60,000 US$","10,996","2,019",,,,,,,
Bangladesh,No income,"13,185","2,019",,,,,,,
India,"Less than 20,000 US$","565,390","2,019",,,,,,,
India,"20,001 - 60,000 US$","1,079,225","2,019",,,,,,,
India,"More than 60,000 US$","154,281","2,019",,,,,,,
India,No income,"162,173","2,019",,,,,,,
Nepal,"Less than 20,000 US$","18,541","2,019",,,,,,,
Nepal,"20,001 - 60,000 US$","34,355","2,019",,,,,,,
Nepal,"More than 60,000 US$","3,234","2,019",,,,,,,
Nepal,No income,"4,298","2,019",,,,,,,
Pakistan,"Less than 20,000 US$","16,969","2,019",,,,,,,
Pakistan,"20,001 - 60,000 US$","43,061","2,019",,,,,,,
Pakistan,"More than 60,000 US$","6,013","2,019",,,,,,,
Pakistan,No income,"5,874","2,019",,,,,,,
Sri Lanka,"Less than 20,000 US$","16,381","2,019",,,,,,,
Sri Lanka,"20,001 - 60,000 US$","45,454","2,019",,,,,,,
Sri Lanka,"More than 60,000 US$","4,414","2,019",,,,,,,
Sri Lanka,No income,"3,998","2,019",,,,,,,
Others in Asia,"Less than 20,000 US$","19,543","2,019",,,,,,,
Others in Asia,"20,001 - 60,000 US$","25,008","2,019",,,,,,,
Others in Asia,"More than 60,000 US$","3,285","2,019",,,,,,,
Others in Asia,No income,"5,858","2,019",,,,,,,
Australia,"Less than 20,000 US$","122,605","2,019",,,,,,,
Australia,"20,001 - 60,000 US$","438,027","2,019",,,,,,,
Australia,"More than 60,000 US$","136,690","2,019",,,,,,,
Australia,No income,"74,476","2,019",,,,,,,
New Zealand,"Less than 20,000 US$","14,451","2,019",,,,,,,
New Zealand,"20,001 - 60,000 US$","56,906","2,019",,,,,,,
New Zealand,"More than 60,000 US$","14,760","2,019",,,,,,,
New Zealand,No income,"7,623","2,019",,,,,,,
Others in Oceania,"Less than 20,000 US$","2,116","2,019",,,,,,,
Others in Oceania,"20,001 - 60,000 US$","4,081","2,019",,,,,,,
Others in Oceania,"More than 60,000 US$","1,476","2,019",,,,,,,
Others in Oceania,No income,943,"2,019",,,,,,,
Egypt,"Less than 20,000 US$","5,058","2,019",,,,,,,
Egypt,"20,001 - 60,000 US$","10,897","2,019",,,,,,,
Egypt,"More than 60,000 US$","1,661","2,019",,,,,,,
Egypt,No income,"1,394","2,019",,,,,,,
Israel,"Less than 20,000 US$","48,306","2,019",,,,,,,
Israel,"20,001 - 60,000 US$","115,130","2,019",,,,,,,
Israel,"More than 60,000 US$","15,770","2,019",,,,,,,
Israel,No income,"14,875","2,019",,,,,,,
Kuwait,"Less than 20,000 US$","16,434","2,019",,,,,,,
Kuwait,"20,001 - 60,000 US$","52,811","2,019",,,,,,,
Kuwait,"More than 60,000 US$","7,423","2,019",,,,,,,
Kuwait,No income,"7,836","2,019",,,,,,,
Saudi Arabia,"Less than 20,000 US$","9,414","2,019",,,,,,,
Saudi Arabia,"20,001 - 60,000 US$","21,619","2,019",,,,,,,
Saudi Arabia,"More than 60,000 US$","3,038","2,019",,,,,,,
Saudi Arabia,No income,"2,712","2,019",,,,,,,
United Arab Emirates,"Less than 20,000 US$","30,452","2,019",,,,,,,
United Arab Emirates,"20,001 - 60,000 US$","79,453","2,019",,,,,,,
United Arab Emirates,"More than 60,000 US$","16,988","2,019",,,,,,,
United Arab Emirates,No income,"18,637","2,019",,,,,,,
Others in Middle East,"Less than 20,000 US$","59,544","2,019",,,,,,,
Others in Middle East,"20,001 - 60,000 US$","135,798","2,019",,,,,,,
Others in Middle East,"More than 60,000 US$","24,828","2,019",,,,,,,
Others in Middle East,No income,"27,240","2,019",,,,,,,
South Africa,"Less than 20,000 US$","25,208","2,019",,,,,,,
South Africa,"20,001 - 60,000 US$","40,631","2,019",,,,,,,
South Africa,"More than 60,000 US$","12,793","2,019",,,,,,,
South Africa,No income,"11,118","2,019",,,,,,,
Others in Africa,"Less than 20,000 US$","32,629","2,019",,,,,,,
Others in Africa,"20,001 - 60,000 US$","54,910","2,019",,,,,,,
Others in Africa,"More than 60,000 US$","9,662","2,019",,,,,,,
Others in Africa,No income,"9,868","2,019",,,,,,,
Brunai,"Less than 20,000 US$",972,2020,,,,,,,
Brunai,"20,001 - 60,000 US$",945,2020,,,,,,,
Brunai,"More than 60,000 US$",278,2020,,,,,,,
Brunai,No income,249,2020,,,,,,,
Cambodia,"Less than 20,000 US$","104,516",2020,,,,,,,
Cambodia,"20,001 - 60,000 US$","36,763",2020,,,,,,,
Cambodia,"More than 60,000 US$","6,900",2020,,,,,,,
Cambodia,No income,"16,091",2020,,,,,,,
Indonesia,"Less than 20,000 US$","37,467",2020,,,,,,,
Indonesia,"20,001 - 60,000 US$","42,447",2020,,,,,,,
Indonesia,"More than 60,000 US$","7,767",2020,,,,,,,
Indonesia,No income,"9,312",2020,,,,,,,
Laos,"Less than 20,000 US$","300,470",2020,,,,,,,
Laos,"20,001 - 60,000 US$","55,997",2020,,,,,,,
Laos,"More than 60,000 US$","10,755",2020,,,,,,,
Laos,No income,"15,024",2020,,,,,,,
Malaysia,"Less than 20,000 US$","319,752",2020,,,,,,,
Malaysia,"20,001 - 60,000 US$","223,105",2020,,,,,,,
Malaysia,"More than 60,000 US$","29,341",2020,,,,,,,
Malaysia,No income,"40,724",2020,,,,,,,
Myanmar,"Less than 20,000 US$","14,880",2020,,,,,,,
Myanmar,"20,001 - 60,000 US$","29,479",2020,,,,,,,
Myanmar,"More than 60,000 US$","5,309",2020,,,,,,,
Myanmar,No income,"5,273",2020,,,,,,,
Philippines,"Less than 20,000 US$","25,261",2020,,,,,,,
Philippines,"20,001 - 60,000 US$","33,434",2020,,,,,,,
Philippines,"More than 60,000 US$","5,192",2020,,,,,,,
Philippines,No income,"4,472",2020,,,,,,,
Singapore,"Less than 20,000 US$","29,100",2020,,,,,,,
Singapore,"20,001 - 60,000 US$","66,862",2020,,,,,,,
Singapore,"More than 60,000 US$","24,055",2020,,,,,,,
Singapore,No income,"12,494",2020,,,,,,,
Vietnam,"Less than 20,000 US$","64,566",2020,,,,,,,
Vietnam,"20,001 - 60,000 US$","46,885",2020,,,,,,,
Vietnam,"More than 60,000 US$","9,489",2020,,,,,,,
Vietnam,No income,"10,368",2020,,,,,,,
China,"Less than 20,000 US$","411,456",2020,,,,,,,
China,"20,001 - 60,000 US$","629,180",2020,,,,,,,
China,"More than 60,000 US$","145,309",2020,,,,,,,
China,No income,"116,192",2020,,,,,,,
Hong Kong,"Less than 20,000 US$","36,250",2020,,,,,,,
Hong Kong,"20,001 - 60,000 US$","63,739",2020,,,,,,,
Hong Kong,"More than 60,000 US$","19,501",2020,,,,,,,
Hong Kong,No income,"12,498",2020,,,,,,,
Japan,"Less than 20,000 US$","60,528",2020,,,,,,,
Japan,"20,001 - 60,000 US$","176,990",2020,,,,,,,
Japan,"More than 60,000 US$","47,695",2020,,,,,,,
Japan,No income,"28,831",2020,,,,,,,
Korea,"Less than 20,000 US$","51,397",2020,,,,,,,
