0,Frequency of visit ,No of Arrival by Frequency of purpose,Year,,,
        Brunai,Total,"17,433","2,015",,,
        Brunai,First visit,"4,508","2,015",,Total,179509101
        Brunai,Re-visit,"12,925","2,015",,First visit,68574954
        Cambodia,Total,"544,818","2,015",,Re-visit,117644723
        Cambodia,First visit,"103,733","2,015",,,
        Cambodia,Re-visit,"441,085","2,015",,,
        Indonesia,Total,"470,820","2,015",,,
        Indonesia,First visit,"182,849","2,015",,,
        Indonesia,Re-visit,"287,971","2,015",,,
        Laos,Total,"1,230,521","2,015",,,
        Laos,First visit,"224,678","2,015",,,
        Laos,Re-visit,"1,005,843","2,015",,,
        Malaysia,Total,"3,407,553","2,015",,,
        Malaysia,First visit,"1,362,845","2,015",,,
        Malaysia,Re-visit,"2,044,708","2,015",,,
        Myanmar,Total,"263,422","2,015",,,
        Myanmar,First visit,"64,982","2,015",,,
        Myanmar,Re-visit,"198,440","2,015",,,
        Philippines,Total,"301,297","2,015",,,
        Philippines,First visit,"102,467","2,015",,,
        Philippines,Re-visit,"198,830","2,015",,,
        Singapore,Total,"1,074,755","2,015",,,
        Singapore,First visit,"237,035","2,015",,,
        Singapore,Re-visit,"837,720","2,015",,,
        Vietnam,Total,"767,643","2,015",,,
        Vietnam,First visit,"302,216","2,015",,,
        Vietnam,Re-visit,"465,427","2,015",,,
    China,Total,"7,981,407","2,015",,,
    China,First visit,"4,378,564","2,015",,,
    China,Re-visit,"3,602,843","2,015",,,
    Hong Kong,Total,"708,435","2,015",,,
    Hong Kong,First visit,"175,038","2,015",,,
    Hong Kong,Re-visit,"533,397","2,015",,,
    Japan,Total,"1,349,388","2,015",,,
    Japan,First visit,"445,144","2,015",,,
    Japan,Re-visit,"904,244","2,015",,,
    Korea,Total,"1,359,211","2,015",,,
    Korea,First visit,"653,778","2,015",,,
    Korea,Re-visit,"705,433","2,015",,,
    Taiwan,Total,"545,560","2,015",,,
    Taiwan,First visit,"178,195","2,015",,,
    Taiwan,Re-visit,"367,365","2,015",,,
    Others in East Asia,Total,"71,666","2,015",,,
    Others in East Asia,First visit,"20,692","2,015",,,
