Country of Residence,Year,No of Arrivals per Occupation,Occupation,,,,,
        Brunai,"2,015","17,433",Total,,,,Total,182805849
        Brunai,"2,015","5,493",Professional,,,,Professional,37023694
        Brunai,"2,015","4,135",Administrative and managerial,,,,Administrative and managerial,24586279
        Brunai,"2,015","3,152",Commercial personal and clerical,,,,Commercial personal and clerical,22160544
        Brunai,"2,015",918,Labourers production and service workers,,,,Labourers production and service workers,1416516
        Brunai,"2,015",52,Agricultural workers,,,,Agricultural workers,1416516
        Brunai,"2,015",898,Government,,,,Government,683692
        Brunai,"2,015",788,House wife,,,,House wife,8605311
        Brunai,"2,015","1,783",Students,,,,Students,26775609
        Brunai,"2,015",214,Retired,,,,Retired,6841122
        Brunai,"2,015", - ,Others,,,,Others,127474
        Brunai,"2,015", - ,Not stated,,,,Not stated,22722
        Cambodia,"2,015","544,818",Total,,,,,
        Cambodia,"2,015","79,740",Professional,,,,,
        Cambodia,"2,015","58,170",Administrative and managerial,,,,,
        Cambodia,"2,015","116,276",Commercial personal and clerical,,,,,
        Cambodia,"2,015","84,485",Labourers production and service workers,,,,,
        Cambodia,"2,015","31,089",Agricultural workers,,,,,
        Cambodia,"2,015","20,950",Government,,,,,
        Cambodia,"2,015","63,316",House wife,,,,,
        Cambodia,"2,015","86,481",Students,,,,,
        Cambodia,"2,015","4,311",Retired,,,,,
        Cambodia,"2,015", - ,Others,,,,,
        Cambodia,"2,015", - ,Not stated,,,,,
        Indonesia,"2,015","470,820",Total,,,,,
        Indonesia,"2,015","109,920",Professional,,,,,
        Indonesia,"2,015","99,807",Administrative and managerial,,,,,
        Indonesia,"2,015","48,835",Commercial personal and clerical,,,,,
        Indonesia,"2,015","100,354",Labourers production and service workers,,,,,
        Indonesia,"2,015",647,Agricultural workers,,,,,
        Indonesia,"2,015","7,786",Government,,,,,
        Indonesia,"2,015","50,068",House wife,,,,,
        Indonesia,"2,015","51,417",Students,,,,,
        Indonesia,"2,015","1,771",Retired,,,,,
        Indonesia,"2,015",215,Others,,,,,
        Indonesia,"2,015", - ,Not stated,,,,,
        Laos,"2,015","1,230,521",Total,,,,,
        Laos,"2,015","438,284",Professional,,,,,
        Laos,"2,015","266,987",Administrative and managerial,,,,,
        Laos,"2,015","99,912",Commercial personal and clerical,,,,,
        Laos,"2,015","90,252",Labourers production and service workers,,,,,
