Year,No of arrival by Sex,Sex,Country of Residence,,,,
"2,015","9,807",Male,        Brunai,,,,
"2,015","7,626",Female,        Brunai,,,Male,89216572
"2,015","263,202",Male,        Cambodia,,,Female,96234033
"2,015","281,616",Female,        Cambodia,,,Total ,"185,450,605"
"2,015","238,360",Male,        Indonesia,,,,
"2,015","232,460",Female,        Indonesia,,,,
"2,015","670,901",Male,        Laos,,,,
"2,015","559,620",Female,        Laos,,,,
"2,015","1,430,567",Male,        Malaysia,,,,
"2,015","1,976,986",Female,        Malaysia,,,,
"2,015","132,604",Male,        Myanmar,,,,
"2,015","130,818",Female,        Myanmar,,,,
"2,015","139,077",Male,        Philippines,,,,
"2,015","162,220",Female,        Philippines,,,,
"2,015","592,015",Male,        Singapore,,,,
"2,015","482,740",Female,        Singapore,,,,
"2,015","371,913",Male,        Vietnam,,,,
"2,015","395,730",Female,        Vietnam,,,,
"2,015","3,456,737",Male,    China,,,,
"2,015","4,524,670",Female,    China,,,,
"2,015","349,419",Male,    Hong Kong,,,,
"2,015","359,016",Female,    Hong Kong,,,,
"2,015","968,087",Male,    Japan,,,,
"2,015","381,301",Female,    Japan,,,,
"2,015","715,226",Male,    Korea,,,,
"2,015","643,985",Female,    Korea,,,,
"2,015","275,964",Male,    Taiwan,,,,
"2,015","269,596",Female,    Taiwan,,,,
"2,015","34,399",Male,    Others in East,,,,
"2,015","37,267",Female,    Others in East,,,,
"2,015","57,398",Male,    Austria,,,,
"2,015","37,480",Female,    Austria,,,,
"2,015","65,913",Male,    Belgium,,,,
"2,015","41,782",Female,    Belgium,,,,
"2,015","90,292",Male,    Denmark,,,,
"2,015","69,128",Female,    Denmark,,,,
"2,015","79,006",Male,    Finland,,,,
"2,015","56,101",Female,    Finland,,,,
"2,015","375,614",Male,    France,,,,
"2,015","272,768",Female,    France,,,,
"2,015","439,297",Male,    Germany,,,,
"2,015","306,838",Female,    Germany,,,,
"2,015", - ,Male,    Ireland,,,,
"2,015", - ,Female,    Ireland,,,,
"2,015","140,105",Male,    Italy,,,,
"2,015","91,324",Female,    Italy,,,,
"2,015","126,155",Male,    Netherlands,,,,
"2,015","88,790",Female,    Netherlands,,,,
"2,015","83,550",Male,    Norway,,,,
"2,015","54,474",Female,    Norway,,,,
"2,015","399,059",Male,    Russian,,,,
"2,015","478,061",Female,    Russian,,,,
"2,015","79,373",Male,    Spain,,,,
"2,015","68,007",Female,    Spain,,,,
"2,015","180,770",Male,    Sweden,,,,
"2,015","137,022",Female,    Sweden,,,,
"2,015","131,207",Male,    Switzerland,,,,
"2,015","88,760",Female,    Switzerland,,,,
"2,015","545,310",Male,    United Kingdom,,,,
"2,015","351,281",Female,    United Kingdom,,,,
"2,015","183,527",Male,    East Europe,,,,
"2,015","162,825",Female,    East Europe,,,,
"2,015","124,277",Male,    Others in Europe,,,,
"2,015","71,287",Female,    Others in Europe,,,,
"2,015","14,479",Male,    Argentina,,,,
"2,015","13,571",Female,    Argentina,,,,
"2,015","23,763",Male,    Brazil,,,,
"2,015","20,651",Female,    Brazil,,,,
"2,015","122,823",Male,    Canada,,,,
"2,015","87,274",Female,    Canada,,,,
"2,015","490,741",Male,USA,,,,
"2,015","336,369",Female,USA,,,,
"2,015","31,644",Male,    Others in America,,,,
"2,015","27,517",Female,    Others in America,,,,
"2,015","69,526",Male,    Bangladesh,,,,
"2,015","39,507",Female,    Bangladesh,,,,
"2,015","714,917",Male,    India,,,,
"2,015","324,478",Female,    India,,,,
"2,015","22,369",Male,    Nepal,,,,
"2,015","10,956",Female,    Nepal,,,,
"2,015","56,760",Male,    Pakistan,,,,
"2,015","19,606",Female,    Pakistan,,,,
"2,015","49,617",Male,    Sri Lanka,,,,
"2,015","25,978",Female,    Sri Lanka,,,,
"2,015","26,379",Male,    Others in Asia,,,,
"2,015","14,199",Female,    Others in Asia,,,,
"2,015","477,235",Male,    Australia,,,,
"2,015","338,818",Female,    Australia,,,,
"2,015","57,781",Male,    New Zealand,,,,
"2,015","44,490",Female,    New Zealand,,,,
"2,015","3,510",Male,Others in Oceania,,,,
"2,015","2,052",Female,Others in Oceania,,,,
"2,015","14,548",Male,    Egypt,,,,
"2,015","8,303",Female,    Egypt,,,,
"2,015","79,434",Male,    Israel,,,,
"2,015","59,065",Female,    Israel,,,,
"2,015","50,651",Male,    Kuwait,,,,
"2,015","22,179",Female,    Kuwait,,,,
"2,015","18,573",Male,    Saudi Arabia,,,,
"2,015","6,580",Female,    Saudi Arabia,,,,
"2,015","100,214",Male,    United Arab Emirates,,,,
"2,015","71,302",Female,    United Arab Emirates,,,,
"2,015","191,876",Male,Others in Middle East,,,,
"2,015","98,066",Female,Others in Middle East,,,,
"2,015","41,780",Male,    Republic of South Africa,,,,
"2,015","32,617",Female,    Republic of South Africa,,,,
"2,015","50,318",Male,    Others in Africa,,,,
"2,015","39,959",Female,    Others in Africa,,,,
"2,016","9,225",Male,        Brunai,,,,
"2,016","8,769",Female,        Brunai,,,,
"2,016","254,460",Male,        Cambodia,,,,
"2,016","430,376",Female,        Cambodia,,,,
"2,016","241,624",Male,        Indonesia,,,,
"2,016","316,875",Female,        Indonesia,,,,
"2,016","703,471",Male,        Laos,,,,
"2,016","711,445",Female,        Laos,,,,
"2,016","1,369,106",Male,        Malaysia,,,,
"2,016","2,137,093",Female,        Malaysia,,,,
"2,016","157,706",Male,        Myanmar,,,,
"2,016","206,165",Female,        Myanmar,,,,
"2,016","136,841",Male,        Philippines,,,,
"2,016","187,019",Female,        Philippines,,,,
"2,016","622,716",Male,        Singapore,,,,
"2,016","540,593",Female,        Singapore,,,,
"2,016","373,219",Male,        Vietnam,,,,
"2,016","490,588",Female,        Vietnam,,,,
"2,016","3,499,440",Male,    China,,,,
"2,016","5,321,708",Female,    China,,,,
"2,016","326,107",Male,    Hong Kong,,,,
"2,016","364,358",Female,    Hong Kong,,,,
"2,016","964,017",Male,    Japan,,,,
"2,016","452,886",Female,    Japan,,,,
"2,016","729,859",Male,    Korea,,,,
"2,016","719,758",Female,    Korea,,,,
"2,016","226,999",Male,    Taiwan,,,,
"2,016","286,529",Female,    Taiwan,,,,
"2,016","32,638",Male,    Others in East,,,,
"2,016","39,763",Female,    Others in East,,,,
"2,016","57,316",Male,    Austria,,,,
"2,016","40,673",Female,    Austria,,,,
"2,016","66,853",Male,    Belgium,,,,
"2,016","45,287",Female,    Belgium,,,,
"2,016","86,742",Male,    Denmark,,,,
"2,016","76,664",Female,    Denmark,,,,
"2,016","74,637",Male,    Finland,,,,
"2,016","56,570",Female,    Finland,,,,
"2,016","384,799",Male,    France,,,,
"2,016","312,939",Female,    France,,,,
"2,016","467,114",Male,    Germany,,,,
"2,016","358,382",Female,    Germany,,,,
"2,016","34,183",Male,    Ireland,,,,
"2,016","25,374",Female,    Ireland,,,,
"2,016","143,285",Male,    Italy,,,,
"2,016","105,618",Female,    Italy,,,,
"2,016","129,264",Male,    Netherlands,,,,
"2,016","99,179",Female,    Netherlands,,,,
"2,016","80,920",Male,    Norway,,,,
"2,016","53,415",Female,    Norway,,,,
"2,016","490,195",Male,    Russian,,,,
"2,016","595,695",Female,    Russian,,,,
"2,016","86,579",Male,    Spain,,,,
"2,016","81,685",Female,    Spain,,,,
"2,016","179,662",Male,    Sweden,,,,
"2,016","149,408",Female,    Sweden,,,,
"2,016","133,754",Male,    Switzerland,,,,
"2,016","92,658",Female,    Switzerland,,,,
"2,016","558,988",Male,    United Kingdom,,,,
"2,016","402,483",Female,    United Kingdom,,,,
"2,016","191,248",Male,    East Europe,,,,
"2,016","187,905",Female,    East Europe,,,,
"2,016","94,617",Male,    Others in Europe,,,,
"2,016","64,307",Female,    Others in Europe,,,,
"2,016","22,762",Male,    Argentina,,,,
"2,016","23,628",Female,    Argentina,,,,
"2,016","31,813",Male,    Brazil,,,,
"2,016","31,326",Female,    Brazil,,,,
"2,016","122,207",Male,    Canada,,,,
"2,016","100,151",Female,    Canada,,,,
"2,016","521,216",Male,USA,,,,
"2,016","417,646",Female,USA,,,,
"2,016","33,491",Male,    Others in America,,,,
"2,016","37,233",Female,    Others in America,,,,
"2,016","63,554",Male,    Bangladesh,,,,
"2,016","40,062",Female,    Bangladesh,,,,
"2,016","700,630",Male,    India,,,,
"2,016","376,340",Female,    India,,,,
"2,016","26,229",Male,    Nepal,,,,
"2,016","16,941",Female,    Nepal,,,,
"2,016","48,539",Male,    Pakistan,,,,
"2,016","23,181",Female,    Pakistan,,,,
"2,016","39,697",Male,    Sri Lanka,,,,
"2,016","28,179",Female,    Sri Lanka,,,,
"2,016","24,593",Male,    Others in Asia,,,,
"2,016","17,689",Female,    Others in Asia,,,,
"2,016","453,585",Male,    Australia,,,,
"2,016","359,432",Female,    Australia,,,,
"2,016","53,741",Male,    New Zealand,,,,
"2,016","45,661",Female,    New Zealand,,,,
"2,016","3,310",Male,Others in Oceania,,,,
"2,016","2,809",Female,Others in Oceania,,,,
