Country of Residence,Mode of Transport,Year,No of Arrival by mode of transport,,,,
        Brunai,Air,2015,16531,,,Air,153431543
        Brunai,Land,2015,836,,,Land,26021700
        Brunai,Waterway,2015,66,,,Waterway,3411146
        Cambodia,Air,2015,126726,,,,
        Cambodia,Land,2015,378561,,,,
        Cambodia,Waterway,2015,39531,,,,
        Indonesia,Air,2015,383367,,,,
        Indonesia,Land,2015,83459,,,,
        Indonesia,Waterway,2015,3994,,,,
        Laos,Air,2015,40343,,,,
        Laos,Land,2015,1085328,,,,
        Laos,Waterway,2015,104850,,,,
        Malaysia,Air,2015,1100134,,,,
        Malaysia,Land,2015,2204570,,,,
        Malaysia,Waterway,2015,102849,,,,
        Myanmar,Air,2015,258139,,,,
        Myanmar,Land,2015,4977,,,,
        Myanmar,Waterway,2015,306,,,,
        Philippines,Air,2015,244407,,,,
        Philippines,Land,2015,54312,,,,
        Philippines,Waterway,2015,2578,,,,
        Singapore,Air,2015,1029014,,,,
        Singapore,Land,2015,43002,,,,
        Singapore,Waterway,2015,2739,,,,
        Vietnam,Air,2015,487173,,,,
        Vietnam,Land,2015,231782,,,,
        Vietnam,Waterway,2015,48688,,,,
    China,Air,2015,7875920,,,,
    China,Land,2015,58102,,,,
    China,Waterway,2015,47385,,,,
    Hong Kong,Air,2015,704041,,,,
    Hong Kong,Land,2015,3468,,,,
    Hong Kong,Waterway,2015,926,,,,
    Japan,Air,2015,1313973,,,,
    Japan,Land,2015,31764,,,,
    Japan,Waterway,2015,3651,,,,
    Korea,Air,2015,1301707,,,,
    Korea,Land,2015,51043,,,,
    Korea,Waterway,2015,6461,,,,
    Taiwan,Air,2015,538988,,,,
    Taiwan,Land,2015,5911,,,,
    Taiwan,Waterway,2015,661,,,,
    Others in East Asia,Air,2015,70593,,,,
    Others in East Asia,Land,2015,884,,,,
    Others in East Asia,Waterway,2015,189,,,,
    Austria,Air,2015,90504,,,,
    Austria,Land,2015,3067,,,,
    Austria,Waterway,2015,1307,,,,
    Belgium,Air,2015,100804,,,,
    Belgium,Land,2015,5353,,,,
    Belgium,Waterway,2015,1538,,,,
    Denmark,Air,2015,153661,,,,
    Denmark,Land,2015,4334,,,,
    Denmark,Waterway,2015,1425,,,,
    Finland,Air,2015,131099,,,,
    Finland,Land,2015,2718,,,,
    Finland,Waterway,2015,1290,,,,
    France,Air,2015,594355,,,,
    France,Land,2015,44186,,,,
    France,Waterway,2015,9841,,,,
    Germany,Air,2015,704663,,,,
    Germany,Land,2015,28875,,,,
    Germany,Waterway,2015,12597,,,,
    Ireland,Air,2015,54877,,,,
    Ireland,Land,2015,3049,,,,
    Ireland,Waterway,2015,614,,,,
    Italy,Air,2015,219654,,,,
    Italy,Land,2015,8937,,,,
    Italy,Waterway,2015,2838,,,,
    Netherlands,Air,2015,201293,,,,
    Netherlands,Land,2015,9600,,,,
    Netherlands,Waterway,2015,4052,,,,
    Norway,Air,2015,133711,,,,
    Norway,Land,2015,3307,,,,
    Norway,Waterway,2015,1006,,,,
    Russian,Air,2015,823410,,,,
    Russian,Land,2015,49094,,,,
    Russian,Waterway,2015,4616,,,,
    Spain,Air,2015,139672,,,,
    Spain,Land,2015,6007,,,,
    Spain,Waterway,2015,1701,,,,
    Sweden,Air,2015,307565,,,,
    Sweden,Land,2015,7009,,,,
    Sweden,Waterway,2015,3218,,,,
    Switzerland,Air,2015,209739,,,,
    Switzerland,Land,2015,7418,,,,
    Switzerland,Waterway,2015,2810,,,,
    United Kingdom,Air,2015,845870,,,,
    United Kingdom,Land,2015,38559,,,,
    United Kingdom,Waterway,2015,12162,,,,
    East Europe,Air,2015,320690,,,,
    East Europe,Land,2015,21411,,,,
    East Europe,Waterway,2015,4251,,,,
    Others in Europe,Air,2015,130175,,,,
    Others in Europe,Land,2015,5495,,,,
    Others in Europe,Waterway,2015,1354,,,,
    Argentina,Air,2015,25952,,,,
    Argentina,Land,2015,1638,,,,
    Argentina,Waterway,2015,460,,,,
    Brazil,Air,2015,42370,,,,
    Brazil,Land,2015,1626,,,,
    Brazil,Waterway,2015,418,,,,
    Canada,Air,2015,192437,,,,
    Canada,Land,2015,14159,,,,
    Canada,Waterway,2015,3501,,,,
    USA,Air,2015,769392,,,,
    USA,Land,2015,48912,,,,
    USA,Waterway,2015,8806,,,,
    Others in America,Air,2015,55421,,,,
    Others in America,Land,2015,3060,,,,
    Others in America,Waterway,2015,680,,,,
    Bangladesh,Air,2015,108321,,,,
    Bangladesh,Land,2015,627,,,,
    Bangladesh,Waterway,2015,85,,,,
    India,Air,2015,1021904,,,,
    India,Land,2015,16521,,,,
    India,Waterway,2015,970,,,,
    Nepal,Air,2015,32619,,,,
    Nepal,Land,2015,692,,,,
    Nepal,Waterway,2015,14,,,,
    Pakistan,Air,2015,75268,,,,
    Pakistan,Land,2015,876,,,,
    Pakistan,Waterway,2015,222,,,,
    Sri Lanka,Air,2015,75275,,,,
    Sri Lanka,Land,2015,304,,,,
    Sri Lanka,Waterway,2015,16,,,,
    Others in Asia,Air,2015,40304,,,,
    Others in Asia,Land,2015,258,,,,
    Others in Asia,Waterway,2015,16,,,,
    Australia,Air,2015,788696,,,,
    Australia,Land,2015,21351,,,,
    Australia,Waterway,2015,6006,,,,
    New Zealand,Air,2015,97208,,,,
    New Zealand,Land,2015,3990,,,,
    New Zealand,Waterway,2015,1073,,,,
    Others in Oceania,Air,2015,5224,,,,
    Others in Oceania,Land,2015,284,,,,
    Others in Oceania,Waterway,2015,54,,,,
    Egypt,Air,2015,22734,,,,
    Egypt,Land,2015,107,,,,
    Egypt,Waterway,2015,10,,,,
    Israel,Air,2015,134780,,,,
    Israel,Land,2015,2932,,,,
    Israel,Waterway,2015,787,,,,
    Kuwait,Air,2015,71994,,,,
    Kuwait,Land,2015,819,,,,
    Kuwait,Waterway,2015,17,,,,
    Saudi Arabia,Air,2015,24899,,,,
    Saudi Arabia,Land,2015,217,,,,
    Saudi Arabia,Waterway,2015,37,,,,
    United Arab Emirates,Air,2015,171327,,,,
    United Arab Emirates,Land,2015,178,,,,
    United Arab Emirates,Waterway,2015,11,,,,
    Others in Middle East,Air,2015,288699,,,,
    Others in Middle East,Land,2015,964,,,,
    Others in Middle East,Waterway,2015,279,,,,
    South Africa,Air,2015,71351,,,,
    South Africa,Land,2015,2601,,,,
    South Africa,Waterway,2015,445,,,,
    Others in Africa,Air,2015,88269,,,,
    Others in Africa,Land,2015,1569,,,,
    Others in Africa,Waterway,2015,439,,,,
        Brunai,Air,2016,13286,,,,
        Brunai,Land,2016,696,,,,
        Brunai,Waterway,2016,41,,,,
        Cambodia,Air,2016,163023,,,,
        Cambodia,Land,2016,472226,,,,
        Cambodia,Waterway,2016,39726,,,,
        Indonesia,Air,2016,450427,,,,
        Indonesia,Land,2016,82590,,,,
        Indonesia,Waterway,2016,1780,,,,
        Laos,Air,2016,48228,,,,
        Laos,Land,2016,1204923,,,,
        Laos,Waterway,2016,134869,,,,
        Malaysia,Air,2016,1177697,,,,
        Malaysia,Land,2016,2233907,,,,
        Malaysia,Waterway,2016,83286,,,,
        Myanmar,Air,2016,334583,,,,
        Myanmar,Land,2016,6663,,,,
        Myanmar,Waterway,2016,380,,,,
        Philippines,Air,2016,278966,,,,
        Philippines,Land,2016,58073,,,,
        Philippines,Waterway,2016,2111,,,,
        Singapore,Air,2016,928077,,,,
        Singapore,Land,2016,37543,,,,
        Singapore,Waterway,2016,1930,,,,
        Vietnam,Air,2016,562358,,,,
        Vietnam,Land,2016,219252,,,,
        Vietnam,Waterway,2016,48610,,,,
    China,Air,2016,8617291,,,,
    China,Land,2016,75268,,,,
    China,Waterway,2016,65087,,,,
    Hong Kong,Air,2016,747699,,,,
    Hong Kong,Land,2016,3078,,,,
    Hong Kong,Waterway,2016,487,,,,
    Japan,Air,2016,1406900,,,,
    Japan,Land,2016,29896,,,,
    Japan,Waterway,2016,2714,,,,
    Korea,Air,2016,1411612,,,,
    Korea,Land,2016,47489,,,,
    Korea,Waterway,2016,4741,,,,
    Taiwan,Air,2016,512688,,,,
    Taiwan,Land,2016,8988,,,,
    Taiwan,Waterway,2016,597,,,,
    Others in East Asia,Air,2016,72485,,,,
    Others in East Asia,Land,2016,906,,,,
    Others in East Asia,Waterway,2016,108,,,,
    Austria,Air,2016,96447,,,,
    Austria,Land,2016,2649,,,,
    Austria,Waterway,2016,1277,,,,
    Belgium,Air,2016,104495,,,,
    Belgium,Land,2016,5130,,,,
    Belgium,Waterway,2016,1388,,,,
    Denmark,Air,2016,160893,,,,
    Denmark,Land,2016,3683,,,,
    Denmark,Waterway,2016,1005,,,,
    Finland,Air,2016,131004,,,,
    Finland,Land,2016,2446,,,,
    Finland,Waterway,2016,788,,,,
    France,Air,2016,686803,,,,
    France,Land,2016,43334,,,,
    France,Waterway,2016,8741,,,,
    Germany,Air,2016,797210,,,,
    Germany,Land,2016,28067,,,,
    Germany,Waterway,2016,12608,,,,
    Ireland,Air,2016,64435,,,,
    Ireland,Land,2016,2487,,,,
    Ireland,Waterway,2016,564,,,,
    Italy,Air,2016,254936,,,,
    Italy,Land,2016,8339,,,,
    Italy,Waterway,2016,2312,,,,
    Netherlands,Air,2016,223032,,,,
    Netherlands,Land,2016,9285,,,,
    Netherlands,Waterway,2016,3445,,,,
    Norway,Air,2016,127326,,,,
    Norway,Land,2016,2908,,,,
    Norway,Waterway,2016,805,,,,
    Russian,Air,2016,1037793,,,,
    Russian,Land,2016,49128,,,,
    Russian,Waterway,2016,3162,,,,
    Spain,Air,2016,162236,,,,
    Spain,Land,2016,5450,,,,
    Spain,Waterway,2016,1214,,,,
    Sweden,Air,2016,325251,,,,
    Sweden,Land,2016,5953,,,,
    Sweden,Waterway,2016,1691,,,,
    Switzerland,Air,2016,200001,,,,
    Switzerland,Land,2016,6695,,,,
    Switzerland,Waterway,2016,2361,,,,
    United Kingdom,Air,2016,956052,,,,
    United Kingdom,Land,2016,36725,,,,
    United Kingdom,Waterway,2016,11568,,,,
    East Europe,Air,2016,385252,,,,
    East Europe,Land,2016,20931,,,,
    East Europe,Waterway,2016,3540,,,,
    Others in Europe,Air,2016,164891,,,,
    Others in Europe,Land,2016,5857,,,,
    Others in Europe,Waterway,2016,1364,,,,
    Argentina,Air,2016,42861,,,,
    Argentina,Land,2016,2122,,,,
    Argentina,Waterway,2016,339,,,,
    Brazil,Air,2016,65557,,,,
    Brazil,Land,2016,1608,,,,
    Brazil,Waterway,2016,304,,,,
    Canada,Air,2016,227636,,,,
    Canada,Land,2016,13620,,,,
    Canada,Waterway,2016,3613,,,,
    USA,Air,2016,919876,,,,
    USA,Land,2016,46993,,,,
    USA,Waterway,2016,8774,,,,
    Others in America,Air,2016,70172,,,,
    Others in America,Land,2016,3306,,,,
    Others in America,Waterway,2016,677,,,,
    Bangladesh,Air,2016,99734,,,,
    Bangladesh,Land,2016,473,,,,
    Bangladesh,Waterway,2016,56,,,,
    India,Air,2016,1178653,,,,
    India,Land,2016,14254,,,,
    India,Waterway,2016,1601,,,,
    Nepal,Air,2016,41677,,,,
    Nepal,Land,2016,780,,,,
    Nepal,Waterway,2016,29,,,,
    Pakistan,Air,2016,74290,,,,
    Pakistan,Land,2016,933,,,,
    Pakistan,Waterway,2016,85,,,,
    Sri Lanka,Air,2016,67858,,,,
    Sri Lanka,Land,2016,326,,,,
    Sri Lanka,Waterway,2016,11,,,,
    Others in Asia,Air,2016,42475,,,,
    Others in Asia,Land,2016,312,,,,
    Others in Asia,Waterway,2016,8,,,,
    Australia,Air,2016,765507,,,,
    Australia,Land,2016,20025,,,,
    Australia,Waterway,2016,10838,,,,
    New Zealand,Air,2016,106150,,,,
    New Zealand,Land,2016,3950,,,,
    New Zealand,Waterway,2016,1495,,,,
    Others in Oceania,Air,2016,2696,,,,
    Others in Oceania,Land,2016,221,,,,
    Others in Oceania,Waterway,2016,19,,,,
    Egypt,Air,2016,27993,,,,
    Egypt,Land,2016,97,,,,
    Egypt,Waterway,2016,24,,,,
    Israel,Air,2016,157602,,,,
    Israel,Land,2016,3136,,,,
    Israel,Waterway,2016,841,,,,
    Kuwait,Air,2016,60976,,,,
    Kuwait,Land,2016,578,,,,
    Kuwait,Waterway,2016,9,,,,
    Saudi Arabia,Air,2016,24493,,,,
    Saudi Arabia,Land,2016,256,,,,
    Saudi Arabia,Waterway,2016,85,,,,
    United Arab Emirates,Air,2016,130819,,,,
    United Arab Emirates,Land,2016,117,,,,
    United Arab Emirates,Waterway,2016,5,,,,
    Others in Middle East,Air,2016,339399,,,,
    Others in Middle East,Land,2016,705,,,,
    Others in Middle East,Waterway,2016,84,,,,
    South Africa,Air,2016,76084,,,,
    South Africa,Land,2016,2800,,,,
    South Africa,Waterway,2016,288,,,,
    Others in Africa,Air,2016,91637,,,,
    Others in Africa,Land,2016,1244,,,,
    Others in Africa,Waterway,2016,160,,,,
        Brunai,Air,2017,13519,,,,
        Brunai,Land,2017,707,,,,
        Brunai,Waterway,2017,42,,,,
        Cambodia,Air,2017,224139,,,,
        Cambodia,Land,2017,551372,,,,
        Cambodia,Waterway,2017,65360,,,,
        Indonesia,Air,2017,509549,,,,
        Indonesia,Land,2017,64791,,,,
        Indonesia,Waterway,2017,1770,,,,
        Laos,Air,2017,55168,,,,
        Laos,Land,2017,1465897,,,,
        Laos,Waterway,2017,161022,,,,
        Malaysia,Air,2017,1280052,,,,
        Malaysia,Land,2017,2142882,,,,
        Malaysia,Waterway,2017,71554,,,,
        Myanmar,Air,2017,358684,,,,
        Myanmar,Land,2017,6617,,,,
        Myanmar,Waterway,2017,305,,,,
        Philippines,Air,2017,335718,,,,
        Philippines,Land,2017,43606,,,,
        Philippines,Waterway,2017,1928,,,,
        Singapore,Air,2017,998565,,,,
        Singapore,Land,2017,30965,,,,
        Singapore,Waterway,2017,3117,,,,
        Vietnam,Air,2017,687299,,,,
        Vietnam,Land,2017,201228,,,,
        Vietnam,Waterway,2017,46652,,,,
    China,Air,2017,9651071,,,,
    China,Land,2017,91237,,,,
    China,Waterway,2017,63952,,,,
    Hong Kong,Air,2017,816721,,,,
    Hong Kong,Land,2017,3911,,,,
    Hong Kong,Waterway,2017,432,,,,
    Japan,Air,2017,1520539,,,,
    Japan,Land,2017,21791,,,,
    Japan,Waterway,2017,2112,,,,
    Korea,Air,2017,1661055,,,,
    Korea,Land,2017,43369,,,,
    Korea,Waterway,2017,4224,,,,
    Taiwan,Air,2017,560761,,,,
    Taiwan,Land,2017,11925,,,,
    Taiwan,Waterway,2017,391,,,,
    Others in East Asia,Air,2017,69410,,,,
    Others in East Asia,Land,2017,839,,,,
    Others in East Asia,Waterway,2017,139,,,,
    Austria,Air,2017,101222,,,,
    Austria,Land,2017,2489,,,,
    Austria,Waterway,2017,1073,,,,
    Belgium,Air,2017,106730,,,,
    Belgium,Land,2017,4357,,,,
    Belgium,Waterway,2017,1179,,,,
    Denmark,Air,2017,158347,,,,
    Denmark,Land,2017,2755,,,,
    Denmark,Waterway,2017,818,,,,
    Finland,Air,2017,137731,,,,
    Finland,Land,2017,2092,,,,
    Finland,Waterway,2017,641,,,,
    France,Air,2017,699709,,,,
    France,Land,2017,32893,,,,
    France,Waterway,2017,7588,,,,
    Germany,Air,2017,816674,,,,
    Germany,Land,2017,24089,,,,
    Germany,Waterway,2017,9376,,,,
    Ireland,Air,2017,66001,,,,
    Ireland,Land,2017,2478,,,,
    Ireland,Waterway,2017,535,,,,
    Italy,Air,2017,256152,,,,
    Italy,Land,2017,6556,,,,
    Italy,Waterway,2017,1807,,,,
    Netherlands,Air,2017,212126,,,,
    Netherlands,Land,2017,7350,,,,
    Netherlands,Waterway,2017,2933,,,,
    Norway,Air,2017,125021,,,,
    Norway,Land,2017,2212,,,,
    Norway,Waterway,2017,617,,,,
    Russian,Air,2017,1294004,,,,
    Russian,Land,2017,49363,,,,
    Russian,Waterway,2017,2971,,,,
    Spain,Air,2017,174257,,,,
    Spain,Land,2017,4256,,,,
    Spain,Waterway,2017,1071,,,,
    Sweden,Air,2017,317509,,,,
    Sweden,Land,2017,4901,,,,
    Sweden,Waterway,2017,1326,,,,
    Switzerland,Air,2017,201747,,,,
