Country,Arrivals,Length of Stay(Days),Per Capita Spending($US/Day),Tourism Receipts(Mil. $US),Region,Year
Brunei,15394,6.97,169.72,18.21,Asean,2015
Cambodia,519841,6.5,132.74,448.53,Asean,2015
Indonesia,320519,6.07,149.46,290.78,Asean,2015
Laos,1187321,5.83,123.88,857.51,Asean,2015
Malaysia,1653575,5.17,152.34,1302.32,Asean,2015
Myanmar,234602,8.54,145.8,292.11,Asean,2015
Philippines,240880,8.62,143.19,297.31,Asean,2015
Singapore,924784,5.71,180.35,952.33,Asean,2015
Vietnam,534212,6.51,153.35,533.29,Asean,2015
China,4395183,9.37,164.71,6783.34,East Asia,2015
Hong Kong,580046,6.63,180.29,693.33,East Asia,2015
Japan,1140303,8.44,147.68,1421.29,East Asia,2015
Korea,854559,8.62,156.41,1152.15,East Asia,2015
Taiwan,457137,7.84,147.7,529.36,East Asia,2015
Others in East Asia,57035,7.62,158.39,68.84,East Asia,2015
Austria,84447,16.76,130.07,184.09,Europe,2015
Belgium,94917,17.04,117.03,189.29,Europe,2015
Denmark,133419,16.44,146.31,320.91,Europe,2015
Finland,113123,16.91,138.23,264.41,Europe,2015
France,587899,18.04,110.52,1172.13,Europe,2015
Germany,677987,17.24,106.43,1243.96,Europe,2015
Italy,206699,16.16,114.92,383.85,Europe,2015
Netherlands,190483,17.45,123.57,410.74,Europe,2015
Norway,122940,15.93,141.32,276.77,Europe,2015
Russia,628501,18.66,134.35,1575.59,Europe,2015
Spain,118639,15.56,111.04,204.99,Europe,2015
Sweden,282910,20.14,122.1,695.73,Europe,2015
Switzerland,198839,17.26,129.28,443.7,Europe,2015
United Kingdom,822941,17.66,123.89,1800.44,Europe,2015
East Europe,269855,15.63,131.54,554.79,Europe,2015
Others in Europe,159274,16.71,137.55,366.09,Europe,2015
Argentina,23794,15.14,133.86,48.22,The Americas,2015
Brazil,36254,14.41,152.61,79.73,The Americas,2015
Canada,185736,18.27,130.14,441.62,The Americas,2015
USA,746924,13.68,145.55,1487.26,The Americas,2015
Others  in America,48527,15.02,131.79,96.06,The Americas,2015
Bangladesh,82627,7.81,160.58,103.63,South Asia,2015
India,744544,8.19,173.04,1055.19,South Asia,2015
Nepal,23344,9.98,140.8,32.8,South Asia,2015
Pakistan,62125,9.78,145.73,88.55,South Asia,2015
Sri Lanka,53676,6.47,163.23,56.69,South Asia,2015
Others in South Asia,33082,7.95,149.46,39.31,South Asia,2015
Australia,709269,13.63,174.58,1687.71,Oceania,2015
New Zealand,86505,14.05,140.03,170.19,Oceania,2015
Others  in Ociania,5053,12.83,131.91,8.55,Oceania,2015
Egypt,17265,11.36,164.08,32.18,Middle East,2015
Israel,121785,17.51,141.26,301.23,Middle East,2015
Kuwait,62781,12.53,183.12,144.05,Middle East,2015
Saudi Arabia,19957,11.48,196.05,44.92,Middle East,2015
U.A.E.,138170,10.17,199.22,279.94,Middle East,2015
Others in Middle East,222244,11.96,175.66,466.91,Middle East,2015
South  Africa,61219,14.8,149.94,135.85,Africa,2015
Others in Africa,76647,10.98,161.42,135.85,Africa,2015
Brunei,17994,7.53,180.78,24.5,Asean,2016
Cambodia,684836,6.42,139.13,611.69,Asean,2016
Indonesia,558499,5.77,148.59,478.83,Asean,2016
Laos,1414916,5.69,132.05,1063.14,Asean,2016
Malaysia,3506199,4.74,152.24,2530.13,Asean,2016
Myanmar,363871,7.74,151.24,425.96,Asean,2016
Philippines,323860,7.35,142.02,338.05,Asean,2016
Singapore,1163309,5.47,178.28,1134.45,Asean,2016
Vietnam,863807,5.98,147.07,759.72,Asean,2016
China,8779196,8.24,178.64,12923.05,East Asia,2016
Hong Kong,732417,6.31,182.06,841.4,East Asia,2016
Japan,1416903,8.02,151.63,1723.05,East Asia,2016
Korea,1449617,7.73,160.19,1795.07,East Asia,2016
Taiwan,513528,7.55,155.5,602.9,East Asia,2016
Others in East Asia,72401,7.19,172.18,89.63,East Asia,2016
Austria,97989,16.05,132.35,208.15,Europe,2016
Belgium,112140,16.67,114.25,213.57,Europe,2016
Denmark,163406,16.35,150.77,402.8,Europe,2016
Finland,131207,16.13,141.66,299.81,Europe,2016
France,697738,17.57,109.56,1343.15,Europe,2016
Germany,825496,17.37,105.48,1512.49,Europe,2016
Italy,248903,15.99,113.79,452.88,Europe,2016
Netherlands,228443,17.21,120.62,474.22,Europe,2016
Norway,134335,15.66,146.47,308.12,Europe,2016
Russia,1085890,16.91,125.94,2312.62,Europe,2016
Spain,168264,15.57,112.21,293.98,Europe,2016
Sweden,329070,18.9,121.24,754.06,Europe,2016
Switzerland,226412,16.74,126.89,480.94,Europe,2016
United Kingdom,961471,17.91,119.5,2057.75,Europe,2016
East Europe,379153,14.73,127.62,712.77,Europe,2016
Others in Europe,218481,15.27,131.23,437.82,Europe,2016
Argentina,46390,15.91,130.79,96.53,The Americas,2016
Brazil,63139,14.63,149.25,137.87,The Americas,2016
Canada,222358,18.43,129.67,531.38,The Americas,2016
USA,938862,13.99,144.82,1902.21,The Americas,2016
Others  in America,70724,14.27,139.77,141.06,The Americas,2016
Bangladesh,103616,7.84,164.37,133.52,South Asia,2016
India,1076970,7.56,159.82,1301.25,South Asia,2016
Nepal,43170,9.58,144.66,59.83,South Asia,2016
Pakistan,71720,9.47,153.15,104.02,South Asia,2016
Sri Lanka,67876,7.14,167.98,81.41,South Asia,2016
Others in South Asia,42282,8.09,164.01,56.1,South Asia,2016
Australia,813017,13.79,160.58,1800.37,Oceania,2016
New Zealand,99402,13.71,143.06,194.97,Oceania,2016
Others  in Ociania,6119,13.04,142.62,11.38,Oceania,2016
Egypt,24913,10.75,180.78,48.41,Middle East,2016
Israel,161254,17.39,141.28,396.19,Middle East,2016
Kuwait,68168,12.69,195.19,168.85,Middle East,2016
Saudi Arabia,33038,11.51,204.29,77.69,Middle East,2016
U.A.E.,187665,9.91,204.12,379.62,Middle East,2016
Others in Middle East,346420,11.59,176.54,708.81,Middle East,2016
South  Africa,76541,13.77,147.39,155.35,Africa,2016
Others in Africa,96193,11.07,170.17,181.2,Africa,2016
Brunei,18249,7.42,196.87,26.66,Asean,2017
Cambodia,851879,6.69,161.33,919.42,Asean,2017
Indonesia,594060,6.03,152.08,544.76,Asean,2017
Laos,1692866,5.69,153.35,1477.17,Asean,2017
Malaysia,3493112,4.96,162.25,2811.14,Asean,2017
Myanmar,387722,7.43,168.37,485.03,Asean,2017
Philippines,361218,7.33,148.02,391.91,Asean,2017
Singapore,1259523,5.4,188.37,1281.15,Asean,2017
Vietnam,985695,5.78,153.36,873.74,Asean,2017
China,9846818,8.08,192.84,15342.44,East Asia,2017
Hong Kong,798460,6.18,196.55,969.87,East Asia,2017
Japan,1525707,7.81,164.88,1964.64,East Asia,2017
Korea,1698608,7.6,172.33,2224.71,East Asia,2017
Taiwan,560441,7.76,168.94,734.72,East Asia,2017
Others in East Asia,91918,7.45,190.64,130.55,East Asia,2017
Austria,104220,16.51,136.7,235.21,Europe,2017
Belgium,112635,17.04,117.88,226.26,Europe,2017
Denmark,157923,16.45,155.33,403.51,Europe,2017
Finland,138926,17.14,149.9,356.93,Europe,2017
France,693426,17.67,109.44,1340.9,Europe,2017
Germany,837318,17.47,107.21,1568.21,Europe,2017
Italy,244982,15.95,119.51,466.98,Europe,2017
Netherlands,215433,17.8,121.17,464.65,Europe,2017
Norway,130200,16.11,157.51,330.38,Europe,2017
Russia,1340376,17.35,130.06,3024.68,Europe,2017
Spain,178954,15.75,120.71,340.23,Europe,2017
Sweden,317797,19.14,133.9,814.44,Europe,2017
Switzerland,227152,17.01,134.99,521.59,Europe,2017
United Kingdom,945061,18.25,126.4,2180.1,Europe,2017
East Europe,445521,14.72,134.18,879.99,Europe,2017
Others in Europe,232242,15.93,136.62,505.44,Europe,2017
Argentina,62738,16.65,130.44,136.25,The Americas,2017
Brazil,71349,14.82,156.3,165.27,The Americas,2017
Canada,227069,18.69,127.4,540.67,The Americas,2017
USA,1006939,14.18,153.33,2189.37,The Americas,2017
Others  in America,80799,14.79,153.18,183.05,The Americas,2017
Bangladesh,125580,8.3,185.52,193.37,South Asia,2017
India,1281681,7.45,168.91,1612.82,South Asia,2017
Nepal,43782,9.79,157.72,67.6,South Asia,2017
Pakistan,76784,9.94,169.5,129.37,South Asia,2017
Sri Lanka,63386,7.3,176.99,81.9,South Asia,2017
Others in South Asia,48315,8.25,187.25,74.64,South Asia,2017
Australia,837485,13.85,167.08,1938.02,Oceania,2017
New Zealand,102328,14.15,153.46,222.21,Oceania,2017
Others  in Ociania,7964,13.49,161.88,17.39,Oceania,2017
Egypt,19730,11.14,203.33,44.69,Middle East,2017
Israel,174815,18.1,154.69,489.47,Middle East,2017
Kuwait,80895,13.88,219.54,246.5,Middle East,2017
Saudi Arabia,42610,12.2,220.67,114.71,Middle East,2017
U.A.E.,199475,10.1,220.69,444.61,Middle East,2017
Others in Middle East,357518,11.76,191.04,803.19,Middle East,2017
South  Africa,91182,14.42,152.83,200.95,Africa,2017
Others in Africa,101112,11,195.8,217.77,Africa,2017
Brunei,18460,6.67,212.46,26.16,Asean,2018
Cambodia,950980,6.81,175.45,1136.26,Asean,2018
Indonesia,644479,5.69,146.59,537.56,Asean,2018
Laos,1682304,5.56,166.57,1558.03,Asean,2018
Malaysia,4042998,4.84,165.32,3235.09,Asean,2018
Myanmar,379880,6.71,184.97,471.5,Asean,2018
Philippines,407832,8.01,157.11,513.25,Asean,2018
Singapore,1168112,5.67,196.95,1304.43,Asean,2018
Vietnam,1053723,6.54,157.47,1085.16,Asean,2018
China,10625167,7.76,196.05,16164.18,East Asia,2018
Hong Kong,1047559,5.82,204.41,1246.22,East Asia,2018
Japan,1642712,8.97,168.92,2489.02,East Asia,2018
Korea,1785147,7.22,170.88,2202.37,East Asia,2018
Taiwan,674172,8.21,173.09,958.02,East Asia,2018
Others in East Asia,101921,7.22,214.17,157.6,East Asia,2018
Austria,114768,16.59,141.33,269.1,Europe,2018
Belgium,116346,16.89,121.52,238.8,Europe,2018
Denmark,170044,16.7,165.9,471.11,Europe,2018
Finland,135384,16.72,149.98,339.51,Europe,2018
France,724350,17.39,109.57,1380.25,Europe,2018
Germany,872185,17.29,111.75,1685.24,Europe,2018
Italy,263515,15.6,124.14,510.3,Europe,2018
Netherlands,226618,17.35,126.82,498.62,Europe,2018
Norway,133020,16.38,165.36,360.31,Europe,2018
Russia,1466457,16.92,131.01,3250.64,Europe,2018
Spain,176597,15.38,125.34,340.43,Europe,2018
Sweden,304206,19.13,143.61,835.73,Europe,2018
Switzerland,225985,16.86,139.71,532.3,Europe,2018
United Kingdom,954404,17.71,132.68,2242.61,Europe,2018
East Europe,487669,14.2,138.26,957.46,Europe,2018
Others in Europe,232147,14.82,140.13,482.1,Europe,2018
Argentina,43485,15.08,137.39,90.09,The Americas,2018
Brazil,57105,13.81,161.09,127.04,The Americas,2018
Canada,252763,17.94,131.67,597.08,The Americas,2018
USA,1096177,14.33,155.79,2447.25,The Americas,2018
Others  in America,84478,13.08,164.38,181.63,The Americas,2018
Bangladesh,125809,8.2,194.6,200.75,South Asia,2018
