Country,Inflation rate(%),Arrivals,Year,GDP,Length of Stay(Days),Per Capita Spending($US/Day),Tourism Receipts(Mil. $US),Region
Argentina,72.4,7549,2022,483.765,19.67,129.19,19.18,America
Argentina,48.4,344,2021,455.172,57.2,81.92,1.87,America
Argentina,42,12461,2020,633.889,15.66,79.83,20.63,America
Argentina,53.5,28183,2019,617.386,14.07,146.13,57.94,America
Argentina,34.3,43485,2018,602.868,15.08,137.39,90.09,America
Argentina,25.7,62738,2017,589.585,16.65,130.44,136.25,America
Argentina,40.9,46390,2016,578.692,15.91,130.79,96.53,America
Argentina,26.6,23794,2015,578.705,15.14,133.86,48.22,America
Australia,6.6,331484,2022,1677.45,14.91,100.52,496.81,Oceania
Australia,2.8,10920,2021,1610.56,43.7,75.61,69.38,Oceania
Australia,0.9,123743,2020,1515.7,13.27,113.96,202.8,Oceania
Australia,1.6,771798,2019,1442.47,13.29,173.96,1784.3,Oceania
Australia,1.9,802234,2018,1381.51,13.43,173.1,1864.94,Oceania
Australia,2,837485,2017,1317.16,13.85,167.08,1938.02,Oceania
Australia,1.3,813017,2016,1253,13.79,160.58,1800.37,Oceania
Australia,1.5,709269,2015,1240.8,13.63,174.58,1687.71,Oceania
Austria,8.6,41642,2022,520.343,19.37,109.69,88.48,Western Europe
Austria,2.8,6307,2021,481.209,37.5,86.93,29.21,Western Europe
Austria,1.4,34599,2020,452.657,18.29,109.43,77.01,Western Europe
Austria,1.5,110690,2019,433.75,16.55,138.42,253.57,Western Europe
Austria,2.1,114768,2018,418.402,16.59,141.33,269.1,Western Europe
Austria,2.2,104220,2017,402.793,16.51,136.7,235.21,Western Europe
Austria,1,97989,2016,386.227,16.05,132.35,208.15,Western Europe
Austria,0.8,84447,2015,372.606,16.76,130.07,184.09,Western Europe
Bangladesh,6.1,78866,2022,390.608,11.45,140.63,126.99,South Asia
Bangladesh,5.6,2202,2021,355.689,33.1,148.14,17.46,South Asia
Bangladesh,5.6,22913,2020,310.858,10.91,186.84,54.25,South Asia
Bangladesh,5.5,139622,2019,285.329,8.32,186.59,216.75,South Asia
Bangladesh,5.8,125809,2018,260.874,8.2,194.6,200.75,South Asia
Bangladesh,5.4,125580,2017,238.723,8.3,185.52,193.37,South Asia
Bangladesh,5.9,103616,2016,218.991,7.84,164.37,133.52,South Asia
Bangladesh,6.4,82627,2015,202.333,7.81,160.58,103.63,South Asia
Belgium,10.3,46942,2022,619.16,20.74,100.87,98.2,Western Europe
Belgium,3.2,6217,2021,581.848,40.74,83.18,30.64,Western Europe
Belgium,0.4,25872,2020,556.197,18.88,127.95,76.05,Western Europe
Belgium,1.3,114016,2019,531.189,16.8,122.95,235.51,Western Europe
Belgium,2.3,116346,2018,511.491,16.89,121.52,238.8,Western Europe
Belgium,2.2,112635,2017,492.062,17.04,117.88,226.26,Western Europe
Belgium,1.8,112140,2016,473.524,16.67,114.25,213.57,Western Europe
Belgium,0.6,94917,2015,458.651,17.04,117.03,189.29,Western Europe
Brazil,9.3,24598,2022,1810.61,18.33,129.41,58.35,America
Brazil,8.3,1671,2021,1645.84,47.88,100.94,9.47,America
Brazil,3.2,18200,2020,2054.41,12.98,125.97,31.92,America
Brazil,3.7,58970,2019,1953.67,12.49,160.89,118.5,America
Brazil,3.7,57105,2018,1854.68,13.81,161.09,127.04,America
Brazil,3.4,71349,2017,1759.27,14.82,156.3,165.27,America
Brazil,8.7,63139,2016,1672.9,14.63,149.25,137.87,America
Brazil,9,36254,2015,1799.61,14.41,152.61,79.73,America
Brunei,3.7,5796,2022,16.263,7.57,53.77,2.36,South-East Asia
Brunei,1.7,48,2021,15.686,54.61,60.44,0.33,South-East Asia
Brunei,1.9,2444,2020,19.1,10.02,212.45,5.34,South-East Asia
Brunei,-0.4,19858,2019,17.129,7.06,217.11,30.44,South-East Asia
Brunei,1,18460,2018,14.551,6.67,212.46,26.16,South-East Asia
Brunei,-1.3,18249,2017,13.038,7.42,196.87,26.66,South-East Asia
Brunei,-0.3,17994,2016,11.853,7.53,180.78,24.5,South-East Asia
Brunei,-0.5,15394,2015,11.636,6.97,169.72,18.21,South-East Asia
Cambodia,5.3,466917,2022,27.985,6.42,122.7,367.81,South-East Asia
Cambodia,2.9,5535,2021,26.08,44.61,81.89,29.07,South-East Asia
Cambodia,2.9,164270,2020,27.089,9.43,195.26,320.25,South-East Asia
Cambodia,1.9,925437,2019,24.83,7.39,184.97,1264.99,South-East Asia
Cambodia,2.5,950980,2018,22.765,6.81,175.45,1136.26,South-East Asia
Cambodia,2.9,851879,2017,20.86,6.69,161.33,919.42,South-East Asia
Cambodia,3,684836,2016,19.198,6.42,139.13,611.69,South-East Asia
Cambodia,1.2,519841,2015,17.714,6.5,132.74,448.53,South-East Asia
Canada,6.8,87170,2022,2189.79,18.19,89.22,141.47,America
Canada,3.4,7238,2021,2015.98,50.8,73.78,45.46,America
Canada,0.7,55984,2020,1958.15,17.01,95.06,104.33,America
Canada,1.9,252574,2019,1860.06,17.02,132.13,568.02,America
Canada,2.3,252763,2018,1773.8,17.94,131.67,597.08,America
Canada,1.6,227069,2017,1682.37,18.69,127.4,540.67,America
Canada,1.4,222358,2016,1592.35,18.43,129.67,531.38,America
Canada,1.1,185736,2015,1572.78,18.27,130.14,441.62,America
China,1.9,258662,2022,18463.13,21.23,156.15,857.5,North-East Asia
China,0.9,26558,2021,16862.98,47.94,70.99,286.51,North-East Asia
China,2.5,1302137,2020,17100.06,9.86,162.09,2227.46,North-East Asia
China,2.9,11138658,2019,15620.71,7.8,197.05,17120.02,North-East Asia
China,1.9,10625167,2018,14272.35,7.76,196.05,16164.18,North-East Asia
China,1.5,9846818,2017,13173.59,8.08,192.84,15342.44,North-East Asia
China,2.1,8779196,2016,12253.98,8.24,178.64,12923.05,North-East Asia
China,1.5,4395183,2015,11384.76,9.37,164.71,6783.34,North-East Asia
Denmark,8.5,63001,2022,414.55,19.8,79.42,99.08,Western Europe
Denmark,1.9,9279,2021,396.666,36.81,82.24,43.2,Western Europe
Denmark,0.3,62962,2020,369.686,17.84,146.12,179.91,Western Europe
